,strategy,test_len,model,metric,imp
0,target_class_lags_all_attributes,260,LogReg,accuracy,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
1,target_class_lags_all_attributes,260,RandomForest,accuracy,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
2,target_class_lags_all_attributes,260,SVC,accuracy,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
3,target_class_lags_all_attributes,260,KNN,accuracy,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
4,target_class_lags_all_attributes,260,GNB,accuracy,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
5,target_class_lags_all_attributes,260,LogReg,f1,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
6,target_class_lags_all_attributes,260,RandomForest,f1,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
7,target_class_lags_all_attributes,260,SVC,f1,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
8,target_class_lags_all_attributes,260,KNN,f1,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
9,target_class_lags_all_attributes,260,GNB,f1,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
10,target_class_lags_all_attributes,260,LogReg,precision,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
11,target_class_lags_all_attributes,260,RandomForest,precision,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
12,target_class_lags_all_attributes,260,SVC,precision,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
13,target_class_lags_all_attributes,260,KNN,precision,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
14,target_class_lags_all_attributes,260,GNB,precision,"[ 4.69669623e-03  1.45269328e-02  8.14326088e-03  2.26837724e-02
 -3.32920102e-06  1.25827805e-02  1.09701344e-02  3.75977332e-03
 -1.96580170e-03 -6.36680554e-03 -2.04056192e-02 -1.44436347e-02
 -6.80524868e-03  2.63499370e-02 -9.07433122e-02  1.84033058e-02
  8.08957806e-04 -2.46718764e-03  6.14047976e-03 -1.11742484e-02
 -9.30502485e-03 -9.64113745e-03 -6.02848911e-03 -6.02848911e-03
 -4.67968091e-03 -9.66593044e-04 -1.19614516e-03 -1.30853171e-03
 -2.34607157e-04  7.37100139e-04 -6.64411446e-04 -9.26198158e-04
  7.43330688e-04 -5.47068576e-04 -1.24447294e-03  1.17635989e-04
  6.14488375e-04  6.52824567e-04 -1.13763177e-03 -4.51206957e-04
 -7.70355591e-04  6.44288885e-04]"
