,strategy,test_len,model,metric,mean,median,std
0,target_class_lags_all_attributes,260,LogReg,accuracy,0.5179487179487179,0.5076923076923077,0.2984234269437462
1,target_class_lags_all_attributes,260,RandomForest,accuracy,0.805128205128205,0.8615384615384616,0.0994230562581605
2,target_class_lags_all_attributes,260,SVC,accuracy,0.805128205128205,0.8615384615384616,0.0994230562581605
3,target_class_lags_all_attributes,260,KNN,accuracy,0.805128205128205,0.8615384615384616,0.0994230562581605
4,target_class_lags_all_attributes,260,GNB,accuracy,0.491025641025641,0.3346153846153846,0.28314473360975684
5,target_class_lags_all_attributes,260,LogReg,f1,0.20695176985700048,0.24221453287197234,0.15657757669687478
6,target_class_lags_all_attributes,260,RandomForest,f1,0.0,0.0,0.0
7,target_class_lags_all_attributes,260,SVC,f1,0.0,0.0,0.0
8,target_class_lags_all_attributes,260,KNN,f1,0.0,0.0,0.0
9,target_class_lags_all_attributes,260,GNB,f1,0.24557834661242017,0.2352941176470588,0.20484152189078428
10,target_class_lags_all_attributes,260,LogReg,precision,0.15535700446186382,0.1383399209486166,0.13433565693430233
11,target_class_lags_all_attributes,260,RandomForest,precision,0.0,0.0,0.0
12,target_class_lags_all_attributes,260,SVC,precision,0.0,0.0,0.0
13,target_class_lags_all_attributes,260,KNN,precision,0.0,0.0,0.0
14,target_class_lags_all_attributes,260,GNB,precision,0.15720056199508253,0.136986301369863,0.13735192306575997
15,target_class_lags_all_attributes,260,LogReg,recall,0.4734993614303959,0.4482758620689655,0.3973085962957141
16,target_class_lags_all_attributes,260,RandomForest,recall,0.0,0.0,0.0
17,target_class_lags_all_attributes,260,SVC,recall,0.0,0.0,0.0
18,target_class_lags_all_attributes,260,KNN,recall,0.0,0.0,0.0
19,target_class_lags_all_attributes,260,GNB,recall,0.6111111111111112,0.8333333333333334,0.43744488188954506
20,target_class_lags_all_attributes,260,LogReg,roc_auc,0.57614069549894,0.5539434523809523,0.07301888028128552
21,target_class_lags_all_attributes,260,RandomForest,roc_auc,0.554660677715728,0.5422867063492063,0.022086215552713777
22,target_class_lags_all_attributes,260,SVC,roc_auc,0.5618262341061074,0.5612599206349206,0.05752170597578089
23,target_class_lags_all_attributes,260,KNN,roc_auc,0.5322973000953805,0.5036210218590127,0.04788480324043007
24,target_class_lags_all_attributes,260,GNB,roc_auc,0.4946563852813853,0.4947916666666667,0.004419306952886303
0,target_class_all_returns,260,LogReg,accuracy,0.805128205128205,0.8615384615384616,0.0994230562581605
1,target_class_all_returns,260,RandomForest,accuracy,0.805128205128205,0.8615384615384616,0.0994230562581605
2,target_class_all_returns,260,SVC,accuracy,0.805128205128205,0.8615384615384616,0.0994230562581605
3,target_class_all_returns,260,KNN,accuracy,0.805128205128205,0.8615384615384616,0.0994230562581605
4,target_class_all_returns,260,GNB,accuracy,0.805128205128205,0.8615384615384616,0.0994230562581605
5,target_class_all_returns,260,LogReg,f1,0.0,0.0,0.0
