,strategy,test_len,model,metric,imp
0,target_class_lags_all_attributes,260,LogReg,accuracy,"[-2.08439909e-05 -2.13143430e-05 -2.09401336e-05 -2.13421976e-05
 -9.70490635e-08 -2.05687664e-05 -2.11691856e-05 -1.97685250e-05
 -2.06835855e-05 -1.95255944e-05 -1.69970916e-05 -1.51010534e-05
 -1.60027881e-05 -1.47070526e-05 -4.71928459e-06 -2.11673155e-05
 -2.02455885e-05 -3.39508891e-07 -1.25799398e-06 -1.72100151e-05
 -1.84216522e-05 -1.72392497e-05 -1.82009701e-05 -1.82009701e-05
 -1.73269626e-05  2.32787277e-07 -1.38011214e-07  1.58383584e-07
 -4.38313948e-07  2.69319072e-07 -7.20070970e-08  7.95420427e-08
 -2.53229353e-08 -8.72373684e-08  2.32851905e-07  1.06276134e-07
  1.77296558e-07 -1.06951713e-07 -2.98074243e-08 -3.96393744e-08
  3.15526323e-08 -1.82388588e-07]"
1,target_class_lags_all_attributes,260,RandomForest,accuracy,"[-2.08439909e-05 -2.13143430e-05 -2.09401336e-05 -2.13421976e-05
 -9.70490635e-08 -2.05687664e-05 -2.11691856e-05 -1.97685250e-05
 -2.06835855e-05 -1.95255944e-05 -1.69970916e-05 -1.51010534e-05
 -1.60027881e-05 -1.47070526e-05 -4.71928459e-06 -2.11673155e-05
 -2.02455885e-05 -3.39508891e-07 -1.25799398e-06 -1.72100151e-05
 -1.84216522e-05 -1.72392497e-05 -1.82009701e-05 -1.82009701e-05
 -1.73269626e-05  2.32787277e-07 -1.38011214e-07  1.58383584e-07
 -4.38313948e-07  2.69319072e-07 -7.20070970e-08  7.95420427e-08
 -2.53229353e-08 -8.72373684e-08  2.32851905e-07  1.06276134e-07
  1.77296558e-07 -1.06951713e-07 -2.98074243e-08 -3.96393744e-08
  3.15526323e-08 -1.82388588e-07]"
2,target_class_lags_all_attributes,260,SVC,accuracy,"[-2.08439909e-05 -2.13143430e-05 -2.09401336e-05 -2.13421976e-05
 -9.70490635e-08 -2.05687664e-05 -2.11691856e-05 -1.97685250e-05
 -2.06835855e-05 -1.95255944e-05 -1.69970916e-05 -1.51010534e-05
 -1.60027881e-05 -1.47070526e-05 -4.71928459e-06 -2.11673155e-05
 -2.02455885e-05 -3.39508891e-07 -1.25799398e-06 -1.72100151e-05
 -1.84216522e-05 -1.72392497e-05 -1.82009701e-05 -1.82009701e-05
 -1.73269626e-05  2.32787277e-07 -1.38011214e-07  1.58383584e-07
 -4.38313948e-07  2.69319072e-07 -7.20070970e-08  7.95420427e-08
 -2.53229353e-08 -8.72373684e-08  2.32851905e-07  1.06276134e-07
  1.77296558e-07 -1.06951713e-07 -2.98074243e-08 -3.96393744e-08
  3.15526323e-08 -1.82388588e-07]"
3,target_class_lags_all_attributes,260,KNN,accuracy,"[-2.08439909e-05 -2.13143430e-05 -2.09401336e-05 -2.13421976e-05
 -9.70490635e-08 -2.05687664e-05 -2.11691856e-05 -1.97685250e-05
 -2.06835855e-05 -1.95255944e-05 -1.69970916e-05 -1.51010534e-05
 -1.60027881e-05 -1.47070526e-05 -4.71928459e-06 -2.11673155e-05
 -2.02455885e-05 -3.39508891e-07 -1.25799398e-06 -1.72100151e-05
 -1.84216522e-05 -1.72392497e-05 -1.82009701e-05 -1.82009701e-05
 -1.73269626e-05  2.32787277e-07 -1.38011214e-07  1.58383584e-07
 -4.38313948e-07  2.69319072e-07 -7.20070970e-08  7.95420427e-08
 -2.53229353e-08 -8.72373684e-08  2.32851905e-07  1.06276134e-07
  1.77296558e-07 -1.06951713e-07 -2.98074243e-08 -3.96393744e-08
  3.15526323e-08 -1.82388588e-07]"
4,target_class_lags_all_attributes,260,GNB,accuracy,"[-2.08439909e-05 -2.13143430e-05 -2.09401336e-05 -2.13421976e-05
 -9.70490635e-08 -2.05687664e-05 -2.11691856e-05 -1.97685250e-05
 -2.06835855e-05 -1.95255944e-05 -1.69970916e-05 -1.51010534e-05
 -1.60027881e-05 -1.47070526e-05 -4.71928459e-06 -2.11673155e-05
 -2.02455885e-05 -3.39508891e-07 -1.25799398e-06 -1.72100151e-05
 -1.84216522e-05 -1.72392497e-05 -1.82009701e-05 -1.82009701e-05
 -1.73269626e-05  2.32787277e-07 -1.38011214e-07  1.58383584e-07
 -4.38313948e-07  2.69319072e-07 -7.20070970e-08  7.95420427e-08
 -2.53229353e-08 -8.72373684e-08  2.32851905e-07  1.06276134e-07
  1.77296558e-07 -1.06951713e-07 -2.98074243e-08 -3.96393744e-08
  3.15526323e-08 -1.82388588e-07]"
5,target_class_lags_all_attributes,260,LogReg,f1,"[-2.08439909e-05 -2.13143430e-05 -2.09401336e-05 -2.13421976e-05
 -9.70490635e-08 -2.05687664e-05 -2.11691856e-05 -1.97685250e-05
 -2.06835855e-05 -1.95255944e-05 -1.69970916e-05 -1.51010534e-05
 -1.60027881e-05 -1.47070526e-05 -4.71928459e-06 -2.11673155e-05
 -2.02455885e-05 -3.39508891e-07 -1.25799398e-06 -1.72100151e-05
 -1.84216522e-05 -1.72392497e-05 -1.82009701e-05 -1.82009701e-05
 -1.73269626e-05  2.32787277e-07 -1.38011214e-07  1.58383584e-07
 -4.38313948e-07  2.69319072e-07 -7.20070970e-08  7.95420427e-08
 -2.53229353e-08 -8.72373684e-08  2.32851905e-07  1.06276134e-07
  1.77296558e-07 -1.06951713e-07 -2.98074243e-08 -3.96393744e-08
  3.15526323e-08 -1.82388588e-07]"
6,target_class_lags_all_attributes,260,RandomForest,f1,"[-2.08439909e-05 -2.13143430e-05 -2.09401336e-05 -2.13421976e-05
 -9.70490635e-08 -2.05687664e-05 -2.11691856e-05 -1.97685250e-05
 -2.06835855e-05 -1.95255944e-05 -1.69970916e-05 -1.51010534e-05
 -1.60027881e-05 -1.47070526e-05 -4.71928459e-06 -2.11673155e-05
 -2.02455885e-05 -3.39508891e-07 -1.25799398e-06 -1.72100151e-05
 -1.84216522e-05 -1.72392497e-05 -1.82009701e-05 -1.82009701e-05
 -1.73269626e-05  2.32787277e-07 -1.38011214e-07  1.58383584e-07
 -4.38313948e-07  2.69319072e-07 -7.20070970e-08  7.95420427e-08
 -2.53229353e-08 -8.72373684e-08  2.32851905e-07  1.06276134e-07
  1.77296558e-07 -1.06951713e-07 -2.98074243e-08 -3.96393744e-08
  3.15526323e-08 -1.82388588e-07]"
7,target_class_lags_all_attributes,260,SVC,f1,"[-2.08439909e-05 -2.13143430e-05 -2.09401336e-05 -2.13421976e-05
 -9.70490635e-08 -2.05687664e-05 -2.11691856e-05 -1.97685250e-05
 -2.06835855e-05 -1.95255944e-05 -1.69970916e-05 -1.51010534e-05
 -1.60027881e-05 -1.47070526e-05 -4.71928459e-06 -2.11673155e-05
 -2.02455885e-05 -3.39508891e-07 -1.25799398e-06 -1.72100151e-05
 -1.84216522e-05 -1.72392497e-05 -1.82009701e-05 -1.82009701e-05
 -1.73269626e-05  2.32787277e-07 -1.38011214e-07  1.58383584e-07
 -4.38313948e-07  2.69319072e-07 -7.20070970e-08  7.95420427e-08
 -2.53229353e-08 -8.72373684e-08  2.32851905e-07  1.06276134e-07
  1.77296558e-07 -1.06951713e-07 -2.98074243e-08 -3.96393744e-08
  3.15526323e-08 -1.82388588e-07]"
8,target_class_lags_all_attributes,260,KNN,f1,"[-2.08439909e-05 -2.13143430e-05 -2.09401336e-05 -2.13421976e-05
 -9.70490635e-08 -2.05687664e-05 -2.11691856e-05 -1.97685250e-05
 -2.06835855e-05 -1.95255944e-05 -1.69970916e-05 -1.51010534e-05
 -1.60027881e-05 -1.47070526e-05 -4.71928459e-06 -2.11673155e-05
 -2.02455885e-05 -3.39508891e-07 -1.25799398e-06 -1.72100151e-05
 -1.84216522e-05 -1.72392497e-05 -1.82009701e-05 -1.82009701e-05
 -1.73269626e-05  2.32787277e-07 -1.38011214e-07  1.58383584e-07
 -4.38313948e-07  2.69319072e-07 -7.20070970e-08  7.95420427e-08
 -2.53229353e-08 -8.72373684e-08  2.32851905e-07  1.06276134e-07
  1.77296558e-07 -1.06951713e-07 -2.98074243e-08 -3.96393744e-08
  3.15526323e-08 -1.82388588e-07]"
9,target_class_lags_all_attributes,260,GNB,f1,"[-2.08439909e-05 -2.13143430e-05 -2.09401336e-05 -2.13421976e-05
 -9.70490635e-08 -2.05687664e-05 -2.11691856e-05 -1.97685250e-05
 -2.06835855e-05 -1.95255944e-05 -1.69970916e-05 -1.51010534e-05
 -1.60027881e-05 -1.47070526e-05 -4.71928459e-06 -2.11673155e-05
 -2.02455885e-05 -3.39508891e-07 -1.25799398e-06 -1.72100151e-05
 -1.84216522e-05 -1.72392497e-05 -1.82009701e-05 -1.82009701e-05
 -1.73269626e-05  2.32787277e-07 -1.38011214e-07  1.58383584e-07
 -4.38313948e-07  2.69319072e-07 -7.20070970e-08  7.95420427e-08
 -2.53229353e-08 -8.72373684e-08  2.32851905e-07  1.06276134e-07
  1.77296558e-07 -1.06951713e-07 -2.98074243e-08 -3.96393744e-08
  3.15526323e-08 -1.82388588e-07]"
