,strategy,test_len,model,metric,mean,median,std
0,target_class_lags_all_attributes,260,LogReg,accuracy,0.4948717948717949,0.5038461538461538,0.021376066667350063
1,target_class_lags_all_attributes,260,RandomForest,accuracy,0.5128205128205128,0.5038461538461538,0.01269166017514317
2,target_class_lags_all_attributes,260,SVC,accuracy,0.5192307692307693,0.5153846153846153,0.023709284626803766
3,target_class_lags_all_attributes,260,KNN,accuracy,0.5217948717948717,0.5153846153846153,0.009065471553673706
4,target_class_lags_all_attributes,260,GNB,accuracy,0.5076923076923077,0.5115384615384615,0.011322770341445954
5,target_class_lags_all_attributes,260,LogReg,f1,0.511946840380401,0.5288135593220339,0.032792340438762925
6,target_class_lags_all_attributes,260,RandomForest,f1,0.36827590113412895,0.2994652406417112,0.15192307552466197
7,target_class_lags_all_attributes,260,SVC,f1,0.509132458659459,0.46610169491525427,0.07253876735333244
8,target_class_lags_all_attributes,260,KNN,f1,0.5068673122514937,0.5078125,0.018618455300777742
9,target_class_lags_all_attributes,260,GNB,f1,0.025071097141146536,0.029411764705882353,0.018948632467726
10,target_class_lags_all_attributes,260,LogReg,precision,0.49278470935129554,0.4935064935064935,0.033934794998314415
11,target_class_lags_all_attributes,260,RandomForest,precision,0.5278082282791038,0.5081967213114754,0.058439272843725645
12,target_class_lags_all_attributes,260,SVC,precision,0.5086077230552966,0.5139664804469274,0.023215874980149726
13,target_class_lags_all_attributes,260,KNN,precision,0.5125784093044564,0.5042735042735043,0.026505921315298876
14,target_class_lags_all_attributes,260,GNB,precision,0.3333333333333333,0.3333333333333333,0.2721655269759087
15,target_class_lags_all_attributes,260,LogReg,recall,0.5504344312439806,0.5984251968503937,0.09823415055571483
16,target_class_lags_all_attributes,260,RandomForest,recall,0.38110184458176555,0.24812030075187969,0.25485710473661566
17,target_class_lags_all_attributes,260,SVC,recall,0.5309430152119682,0.4251968503937008,0.1578664786763929
18,target_class_lags_all_attributes,260,KNN,recall,0.5028773366228273,0.5112781954887218,0.028477142006011195
19,target_class_lags_all_attributes,260,GNB,recall,0.013209252639796212,0.015037593984962405,0.010121797094598114
20,target_class_lags_all_attributes,260,LogReg,roc_auc,0.4990225717227445,0.4903777619387028,0.014763259671934688
21,target_class_lags_all_attributes,260,RandomForest,roc_auc,0.5172110149584267,0.5115229270610596,0.008814207031823234
22,target_class_lags_all_attributes,260,SVC,roc_auc,0.5200326403004253,0.5202542171537182,0.024508449813369255
23,target_class_lags_all_attributes,260,KNN,roc_auc,0.5245496595862457,0.5292759457699366,0.018349375675053313
24,target_class_lags_all_attributes,260,GNB,roc_auc,0.5348031075494338,0.5354922739920668,0.004736321340817207
0,target_class_all_returns,260,LogReg,accuracy,0.5012820512820513,0.5076923076923077,0.00906547155367368
1,target_class_all_returns,260,RandomForest,accuracy,0.5102564102564102,0.5038461538461538,0.014840816542038749
2,target_class_all_returns,260,SVC,accuracy,0.5230769230769231,0.5192307692307693,0.03621653049186033
3,target_class_all_returns,260,KNN,accuracy,0.5358974358974359,0.55,0.022718006598294063
4,target_class_all_returns,260,GNB,accuracy,0.5205128205128206,0.5192307692307693,0.02670854699487138
5,target_class_all_returns,260,LogReg,f1,0.520199317049335,0.5397923875432526,0.041736338652989015
6,target_class_all_returns,260,RandomForest,f1,0.4971955096178699,0.5217391304347827,0.04623941377912345
7,target_class_all_returns,260,SVC,f1,0.36884707182396587,0.4292237442922375,0.16762796643589126
8,target_class_all_returns,260,KNN,f1,0.5274818113610277,0.5517241379310345,0.03825916438728913
9,target_class_all_returns,260,GNB,f1,0.4328211460191156,0.36548223350253806,0.12505042932592136
10,target_class_all_returns,260,LogReg,precision,0.49581128747795417,0.48214285714285715,0.019799583879468893
11,target_class_all_returns,260,RandomForest,precision,0.49747760832728155,0.48823529411764705,0.024379162725449155
12,target_class_all_returns,260,SVC,precision,0.503623188405797,0.5108695652173914,0.03440439500783603
13,target_class_all_returns,260,KNN,precision,0.5255330490405118,0.5214285714285715,0.008456628850938602
14,target_class_all_returns,260,GNB,precision,0.5105090311986863,0.5142857142857142,0.007528337199571529
15,target_class_all_returns,260,LogReg,recall,0.563880496387477,0.6141732283464567,0.1082347240637055
16,target_class_all_returns,260,RandomForest,recall,0.5350849694262764,0.6065573770491803,0.12382424348788326
17,target_class_all_returns,260,SVC,recall,0.3285241307735584,0.3700787401574803,0.1860790466431964
18,target_class_all_returns,260,KNN,recall,0.5337933383866275,0.5669291338582677,0.07026810008033951
19,target_class_all_returns,260,GNB,recall,0.4205903295737731,0.28346456692913385,0.22491562448500618
20,target_class_all_returns,260,LogReg,roc_auc,0.4916885905073847,0.48339352317802375,0.031211243550129646
21,target_class_all_returns,260,RandomForest,roc_auc,0.5203838045772282,0.510271742347996,0.02325596168502128
22,target_class_all_returns,260,SVC,roc_auc,0.5000838230367695,0.4829791012965485,0.02896104503730335
23,target_class_all_returns,260,KNN,roc_auc,0.5429494936618311,0.5523580422903303,0.022677907931737233
24,target_class_all_returns,260,GNB,roc_auc,0.5251704760035879,0.5266096459966737,0.022186850779281755
0,target_class_all_returns,260,LogReg,accuracy,0.5064102564102564,0.5076923076923077,0.022790242095680986
1,target_class_all_returns,260,RandomForest,accuracy,0.5025641025641026,0.49615384615384617,0.0238475323560747
2,target_class_all_returns,260,SVC,accuracy,0.5111111111111111,0.5192307692307693,0.019311322269564106
3,target_class_all_returns,260,KNN,accuracy,0.523076923076923,0.5153846153846153,0.023148038570856136
4,target_class_all_returns,260,GNB,accuracy,0.5085470085470085,0.5192307692307693,0.021126849733860302
5,target_class_all_returns,260,LogReg,f1,0.48675075339247137,0.4677419354838709,0.050835977788957064
6,target_class_all_returns,260,RandomForest,f1,0.4664979293481351,0.48101265822784806,0.05688180475841548
7,target_class_all_returns,260,SVC,f1,0.47226925168622963,0.47698744769874474,0.04720916270245136
8,target_class_all_returns,260,KNN,f1,0.5106997414817054,0.5153846153846154,0.030785214873625406
9,target_class_all_returns,260,GNB,f1,0.34053779814058877,0.3523316062176166,0.13318039400766588
10,target_class_all_returns,260,LogReg,precision,0.5076610334731313,0.5103448275862069,0.03887745925150907
11,target_class_all_returns,260,RandomForest,precision,0.4974620559879673,0.4774193548387097,0.048665354129260145
12,target_class_all_returns,260,SVC,precision,0.5061313193794111,0.4957983193277311,0.03829523898056009
13,target_class_all_returns,260,KNN,precision,0.5184788632399553,0.5178571428571429,0.035349028748276515
14,target_class_all_returns,260,GNB,precision,0.5124265465075126,0.5151515151515151,0.03368231979538477
15,target_class_all_returns,260,LogReg,recall,0.48926122579601805,0.4603174603174603,0.1183422223585557
16,target_class_all_returns,260,RandomForest,recall,0.4611307363719386,0.43609022556390975,0.1161887276409338
17,target_class_all_returns,260,SVC,recall,0.4507556421448353,0.4230769230769231,0.08111284155279458
18,target_class_all_returns,260,KNN,recall,0.5083516524092676,0.5245901639344263,0.057833519200238465
19,target_class_all_returns,260,GNB,recall,0.29309622408089586,0.2677165354330709,0.1777322616161093
20,target_class_all_returns,260,LogReg,roc_auc,0.502892986729606,0.5150867189356141,0.03198165301828284
21,target_class_all_returns,260,RandomForest,roc_auc,0.5065323495584848,0.5109333333333334,0.026941696132300748
22,target_class_all_returns,260,SVC,roc_auc,0.5230761342883414,0.5240156546489564,0.01894976031551087
23,target_class_all_returns,260,KNN,roc_auc,0.5253771257752711,0.5153243050605845,0.023324557459294733
24,target_class_all_returns,260,GNB,roc_auc,0.5116282926007869,0.5067712045616536,0.023404131150792234
0,target_class_returns_all_attributes,260,LogReg,accuracy,0.4871794871794872,0.49615384615384617,0.015491084581531499
1,target_class_returns_all_attributes,260,RandomForest,accuracy,0.5153846153846154,0.49615384615384617,0.032786440647549805
2,target_class_returns_all_attributes,260,SVC,accuracy,0.5307692307692307,0.5307692307692308,0.012561485860426555
3,target_class_returns_all_attributes,260,KNN,accuracy,0.532051282051282,0.5153846153846153,0.023570226039551608
4,target_class_returns_all_attributes,260,GNB,accuracy,0.5166666666666666,0.5153846153846153,0.007903094875601271
5,target_class_returns_all_attributes,260,LogReg,f1,0.5219808818670152,0.5647840531561462,0.07002851555064961
6,target_class_returns_all_attributes,260,RandomForest,f1,0.3451338176195861,0.27807486631016043,0.11647620197901257
7,target_class_returns_all_attributes,260,SVC,f1,0.5436784461650453,0.5434782608695653,0.0425494008903206
8,target_class_returns_all_attributes,260,KNN,f1,0.5302010110574042,0.5190839694656487,0.02413473361116669
9,target_class_returns_all_attributes,260,GNB,f1,0.2909954796934308,0.28089887640449435,0.12055920036497239
10,target_class_returns_all_attributes,260,LogReg,precision,0.4797408643348577,0.478494623655914,0.00670587467319686
11,target_class_returns_all_attributes,260,RandomForest,precision,0.5334599305187541,0.5147058823529411,0.06568008069118253
12,target_class_returns_all_attributes,260,SVC,precision,0.522174093246406,0.5117647058823529,0.020950337926024763
13,target_class_returns_all_attributes,260,KNN,precision,0.5229851113572045,0.5038759689922481,0.040550275620099156
14,target_class_returns_all_attributes,260,GNB,precision,0.5247715247715249,0.5238095238095238,0.02475166970710651
15,target_class_returns_all_attributes,260,LogReg,recall,0.5940860606401767,0.6692913385826772,0.15095131258065747
16,target_class_returns_all_attributes,260,RandomForest,recall,0.3345678640903278,0.23308270676691728,0.16978735319238974
17,target_class_returns_all_attributes,260,SVC,recall,0.5824249859190379,0.5905511811023622,0.11017519720763282
18,target_class_returns_all_attributes,260,KNN,recall,0.5393534177511676,0.5488721804511278,0.01978249737854291
19,target_class_returns_all_attributes,260,GNB,recall,0.22540781410089053,0.18796992481203006,0.13130476320897091
20,target_class_returns_all_attributes,260,LogReg,roc_auc,0.4998836497052828,0.504233023503641,0.018519779966888413
21,target_class_returns_all_attributes,260,RandomForest,roc_auc,0.5043218926609677,0.5000593965312425,0.022463303068080247
22,target_class_returns_all_attributes,260,SVC,roc_auc,0.5341737994664986,0.5307080066524115,0.010442851977425836
23,target_class_returns_all_attributes,260,KNN,roc_auc,0.5210807037161019,0.5129950861405483,0.03256144582370051
24,target_class_returns_all_attributes,260,GNB,roc_auc,0.5291866827690542,0.5177595628415301,0.01647437889555776
