,strategy,test_len,model,metric,imp
0,target_close_all_lags,260,LR,explained_variance,"[ 5.31353445e+01  2.05466956e+00 -3.66542789e+00  4.13895103e+00
 -2.31697578e+00  1.03639230e-01  2.24192833e-01  3.39188939e-02
  1.27781392e-01  1.71452171e-01]"
1,target_close_all_lags,260,Lasso,explained_variance,"[ 5.35392321e+01  6.79908627e-02 -2.57138165e-03  6.66764074e-02
 -3.61085036e-02 -0.00000000e+00  2.87426952e-02  6.62292434e-02
  1.41566116e-01  1.35322231e-01]"
2,target_close_all_lags,260,Ridge,explained_variance,"[ 5.31337611e+01  2.05606501e+00 -3.66497632e+00  4.13842378e+00
 -2.31660724e+00  1.03522235e-01  2.24194231e-01  3.39182449e-02
  1.27785912e-01  1.71458206e-01]"
3,target_close_all_lags,260,RandomForest,explained_variance,"[9.92292675e-01 5.62520728e-03 9.81946626e-04 1.72320969e-04
 1.46399225e-04 3.95043669e-04 1.23306207e-04 1.17612545e-04
 8.20672945e-05 6.34210226e-05]"
4,target_close_all_lags,260,XGB,explained_variance,"[0.8645685  0.04092528 0.01901162 0.02473192 0.00331366 0.00104776
 0.00265267 0.0131478  0.00134772 0.02925307]"
5,target_close_all_lags,260,SVR,explained_variance,"[ 1.00480337e+00  1.07606437e-02 -5.07866825e-02  2.86966792e-02
 -1.45829214e-04  3.51919352e-03  1.99471185e-03  2.78506656e-03
 -3.74103942e-03  2.88384260e-03]"
6,target_close_all_lags,260,LR,r2,"[ 5.31353445e+01  2.05466956e+00 -3.66542789e+00  4.13895103e+00
 -2.31697578e+00  1.03639230e-01  2.24192833e-01  3.39188939e-02
  1.27781392e-01  1.71452171e-01]"
7,target_close_all_lags,260,Lasso,r2,"[ 5.35392321e+01  6.79908627e-02 -2.57138165e-03  6.66764074e-02
 -3.61085036e-02 -0.00000000e+00  2.87426952e-02  6.62292434e-02
  1.41566116e-01  1.35322231e-01]"
8,target_close_all_lags,260,Ridge,r2,"[ 5.31337611e+01  2.05606501e+00 -3.66497632e+00  4.13842378e+00
 -2.31660724e+00  1.03522235e-01  2.24194231e-01  3.39182449e-02
  1.27785912e-01  1.71458206e-01]"
9,target_close_all_lags,260,RandomForest,r2,"[9.92292675e-01 5.62520728e-03 9.81946626e-04 1.72320969e-04
 1.46399225e-04 3.95043669e-04 1.23306207e-04 1.17612545e-04
 8.20672945e-05 6.34210226e-05]"
10,target_close_all_lags,260,XGB,r2,"[0.8645685  0.04092528 0.01901162 0.02473192 0.00331366 0.00104776
 0.00265267 0.0131478  0.00134772 0.02925307]"
11,target_close_all_lags,260,SVR,r2,"[ 1.00480337e+00  1.07606437e-02 -5.07866825e-02  2.86966792e-02
 -1.45829214e-04  3.51919352e-03  1.99471185e-03  2.78506656e-03
 -3.74103942e-03  2.88384260e-03]"
12,target_close_all_lags,260,LR,neg_mean_absolute_error,"[ 5.31353445e+01  2.05466956e+00 -3.66542789e+00  4.13895103e+00
 -2.31697578e+00  1.03639230e-01  2.24192833e-01  3.39188939e-02
  1.27781392e-01  1.71452171e-01]"
13,target_close_all_lags,260,Lasso,neg_mean_absolute_error,"[ 5.35392321e+01  6.79908627e-02 -2.57138165e-03  6.66764074e-02
 -3.61085036e-02 -0.00000000e+00  2.87426952e-02  6.62292434e-02
  1.41566116e-01  1.35322231e-01]"
14,target_close_all_lags,260,Ridge,neg_mean_absolute_error,"[ 5.31337611e+01  2.05606501e+00 -3.66497632e+00  4.13842378e+00
 -2.31660724e+00  1.03522235e-01  2.24194231e-01  3.39182449e-02
  1.27785912e-01  1.71458206e-01]"
15,target_close_all_lags,260,RandomForest,neg_mean_absolute_error,"[9.92292675e-01 5.62520728e-03 9.81946626e-04 1.72320969e-04
 1.46399225e-04 3.95043669e-04 1.23306207e-04 1.17612545e-04
 8.20672945e-05 6.34210226e-05]"
16,target_close_all_lags,260,XGB,neg_mean_absolute_error,"[0.8645685  0.04092528 0.01901162 0.02473192 0.00331366 0.00104776
 0.00265267 0.0131478  0.00134772 0.02925307]"
17,target_close_all_lags,260,SVR,neg_mean_absolute_error,"[ 1.00480337e+00  1.07606437e-02 -5.07866825e-02  2.86966792e-02
 -1.45829214e-04  3.51919352e-03  1.99471185e-03  2.78506656e-03
 -3.74103942e-03  2.88384260e-03]"
18,target_close_all_lags,260,LR,neg_mean_squared_error,"[ 5.31353445e+01  2.05466956e+00 -3.66542789e+00  4.13895103e+00
 -2.31697578e+00  1.03639230e-01  2.24192833e-01  3.39188939e-02
  1.27781392e-01  1.71452171e-01]"
19,target_close_all_lags,260,Lasso,neg_mean_squared_error,"[ 5.35392321e+01  6.79908627e-02 -2.57138165e-03  6.66764074e-02
 -3.61085036e-02 -0.00000000e+00  2.87426952e-02  6.62292434e-02
  1.41566116e-01  1.35322231e-01]"
20,target_close_all_lags,260,Ridge,neg_mean_squared_error,"[ 5.31337611e+01  2.05606501e+00 -3.66497632e+00  4.13842378e+00
 -2.31660724e+00  1.03522235e-01  2.24194231e-01  3.39182449e-02
  1.27785912e-01  1.71458206e-01]"
21,target_close_all_lags,260,RandomForest,neg_mean_squared_error,"[9.92292675e-01 5.62520728e-03 9.81946626e-04 1.72320969e-04
 1.46399225e-04 3.95043669e-04 1.23306207e-04 1.17612545e-04
 8.20672945e-05 6.34210226e-05]"
22,target_close_all_lags,260,XGB,neg_mean_squared_error,"[0.8645685  0.04092528 0.01901162 0.02473192 0.00331366 0.00104776
 0.00265267 0.0131478  0.00134772 0.02925307]"
23,target_close_all_lags,260,SVR,neg_mean_squared_error,"[ 1.00480337e+00  1.07606437e-02 -5.07866825e-02  2.86966792e-02
 -1.45829214e-04  3.51919352e-03  1.99471185e-03  2.78506656e-03
 -3.74103942e-03  2.88384260e-03]"
24,target_close_all_lags,260,LR,neg_median_absolute_error,"[ 5.31353445e+01  2.05466956e+00 -3.66542789e+00  4.13895103e+00
 -2.31697578e+00  1.03639230e-01  2.24192833e-01  3.39188939e-02
  1.27781392e-01  1.71452171e-01]"
25,target_close_all_lags,260,Lasso,neg_median_absolute_error,"[ 5.35392321e+01  6.79908627e-02 -2.57138165e-03  6.66764074e-02
 -3.61085036e-02 -0.00000000e+00  2.87426952e-02  6.62292434e-02
  1.41566116e-01  1.35322231e-01]"
26,target_close_all_lags,260,Ridge,neg_median_absolute_error,"[ 5.31337611e+01  2.05606501e+00 -3.66497632e+00  4.13842378e+00
 -2.31660724e+00  1.03522235e-01  2.24194231e-01  3.39182449e-02
  1.27785912e-01  1.71458206e-01]"
27,target_close_all_lags,260,RandomForest,neg_median_absolute_error,"[9.92292675e-01 5.62520728e-03 9.81946626e-04 1.72320969e-04
 1.46399225e-04 3.95043669e-04 1.23306207e-04 1.17612545e-04
 8.20672945e-05 6.34210226e-05]"
28,target_close_all_lags,260,XGB,neg_median_absolute_error,"[0.8645685  0.04092528 0.01901162 0.02473192 0.00331366 0.00104776
 0.00265267 0.0131478  0.00134772 0.02925307]"
29,target_close_all_lags,260,SVR,neg_median_absolute_error,"[ 1.00480337e+00  1.07606437e-02 -5.07866825e-02  2.86966792e-02
 -1.45829214e-04  3.51919352e-03  1.99471185e-03  2.78506656e-03
 -3.74103942e-03  2.88384260e-03]"
0,target_return_1d_all_returns,260,LR,explained_variance,"[-3.25513926e-04  1.07275690e-03 -8.42135063e-04 -4.50834072e-04
  4.80436168e-04 -1.24135991e-06 -5.79323950e-04  1.42948684e-04
 -2.95497902e-04]"
1,target_return_1d_all_returns,260,Lasso,explained_variance,[-0. -0. -0. -0. -0. -0. -0. -0. -0.]
2,target_return_1d_all_returns,260,Ridge,explained_variance,"[-3.17635098e-04  1.04787813e-03 -8.20235882e-04 -4.40008171e-04
  4.62622683e-04 -1.61566760e-06 -5.73308875e-04  1.36903720e-04
 -2.91925350e-04]"
3,target_return_1d_all_returns,260,RandomForest,explained_variance,"[0.09908757 0.06923714 0.04541866 0.08215153 0.09067502 0.10997488
 0.12279361 0.19654986 0.18411173]"
4,target_return_1d_all_returns,260,XGB,explained_variance,"[0.11548236 0.10857403 0.10637048 0.13769227 0.11508815 0.10981305
 0.09270362 0.1021843  0.11209174]"
5,target_return_1d_all_returns,260,SVR,explained_variance,"[-0.14757015 -0.08701767 -0.03359339 -0.02430861  0.01416826  0.00716987
  0.0394495  -0.05980182  0.0472221 ]"
6,target_return_1d_all_returns,260,LR,r2,"[-3.25513926e-04  1.07275690e-03 -8.42135063e-04 -4.50834072e-04
  4.80436168e-04 -1.24135991e-06 -5.79323950e-04  1.42948684e-04
 -2.95497902e-04]"
7,target_return_1d_all_returns,260,Lasso,r2,[-0. -0. -0. -0. -0. -0. -0. -0. -0.]
8,target_return_1d_all_returns,260,Ridge,r2,"[-3.17635098e-04  1.04787813e-03 -8.20235882e-04 -4.40008171e-04
  4.62622683e-04 -1.61566760e-06 -5.73308875e-04  1.36903720e-04
 -2.91925350e-04]"
9,target_return_1d_all_returns,260,RandomForest,r2,"[0.09908757 0.06923714 0.04541866 0.08215153 0.09067502 0.10997488
 0.12279361 0.19654986 0.18411173]"
10,target_return_1d_all_returns,260,XGB,r2,"[0.11548236 0.10857403 0.10637048 0.13769227 0.11508815 0.10981305
 0.09270362 0.1021843  0.11209174]"
11,target_return_1d_all_returns,260,SVR,r2,"[-0.14757015 -0.08701767 -0.03359339 -0.02430861  0.01416826  0.00716987
  0.0394495  -0.05980182  0.0472221 ]"
12,target_return_1d_all_returns,260,LR,neg_mean_absolute_error,"[-3.25513926e-04  1.07275690e-03 -8.42135063e-04 -4.50834072e-04
  4.80436168e-04 -1.24135991e-06 -5.79323950e-04  1.42948684e-04
 -2.95497902e-04]"
13,target_return_1d_all_returns,260,Lasso,neg_mean_absolute_error,[-0. -0. -0. -0. -0. -0. -0. -0. -0.]
14,target_return_1d_all_returns,260,Ridge,neg_mean_absolute_error,"[-3.17635098e-04  1.04787813e-03 -8.20235882e-04 -4.40008171e-04
  4.62622683e-04 -1.61566760e-06 -5.73308875e-04  1.36903720e-04
 -2.91925350e-04]"
15,target_return_1d_all_returns,260,RandomForest,neg_mean_absolute_error,"[0.09908757 0.06923714 0.04541866 0.08215153 0.09067502 0.10997488
 0.12279361 0.19654986 0.18411173]"
16,target_return_1d_all_returns,260,XGB,neg_mean_absolute_error,"[0.11548236 0.10857403 0.10637048 0.13769227 0.11508815 0.10981305
 0.09270362 0.1021843  0.11209174]"
17,target_return_1d_all_returns,260,SVR,neg_mean_absolute_error,"[-0.14757015 -0.08701767 -0.03359339 -0.02430861  0.01416826  0.00716987
  0.0394495  -0.05980182  0.0472221 ]"
18,target_return_1d_all_returns,260,LR,neg_mean_squared_error,"[-3.25513926e-04  1.07275690e-03 -8.42135063e-04 -4.50834072e-04
  4.80436168e-04 -1.24135991e-06 -5.79323950e-04  1.42948684e-04
 -2.95497902e-04]"
19,target_return_1d_all_returns,260,Lasso,neg_mean_squared_error,[-0. -0. -0. -0. -0. -0. -0. -0. -0.]
20,target_return_1d_all_returns,260,Ridge,neg_mean_squared_error,"[-3.17635098e-04  1.04787813e-03 -8.20235882e-04 -4.40008171e-04
  4.62622683e-04 -1.61566760e-06 -5.73308875e-04  1.36903720e-04
 -2.91925350e-04]"
21,target_return_1d_all_returns,260,RandomForest,neg_mean_squared_error,"[0.09908757 0.06923714 0.04541866 0.08215153 0.09067502 0.10997488
 0.12279361 0.19654986 0.18411173]"
22,target_return_1d_all_returns,260,XGB,neg_mean_squared_error,"[0.11548236 0.10857403 0.10637048 0.13769227 0.11508815 0.10981305
 0.09270362 0.1021843  0.11209174]"
23,target_return_1d_all_returns,260,SVR,neg_mean_squared_error,"[-0.14757015 -0.08701767 -0.03359339 -0.02430861  0.01416826  0.00716987
  0.0394495  -0.05980182  0.0472221 ]"
