,strategy,test_len,model,metric,mean,median,std
0,target_class_lags_all_attributes,260,LogReg,accuracy,0.49743589743589745,0.5038461538461538,0.017856908047671934
1,target_class_lags_all_attributes,260,RandomForest,accuracy,0.4576923076923077,0.45384615384615384,0.02683134555955944
2,target_class_lags_all_attributes,260,SVC,accuracy,0.5474358974358974,0.573076923076923,0.03901313860180237
3,target_class_lags_all_attributes,260,KNN,accuracy,0.5102564102564102,0.5038461538461538,0.014840816542038749
4,target_class_lags_all_attributes,260,GNB,accuracy,0.5205128205128206,0.49615384615384617,0.037201584944992046
5,target_class_lags_all_attributes,260,LogReg,f1,0.5645235285967837,0.5827814569536424,0.08016214219155879
6,target_class_lags_all_attributes,260,RandomForest,f1,0.24210630368743416,0.07547169811320754,0.2808092834380304
7,target_class_lags_all_attributes,260,SVC,f1,0.7035407978744757,0.7222222222222221,0.03104339129118018
8,target_class_lags_all_attributes,260,KNN,f1,0.5856277540014866,0.5760517799352751,0.029902174656904475
9,target_class_lags_all_attributes,260,GNB,f1,0.643984726123282,0.6597938144329897,0.07636988287267571
10,target_class_lags_all_attributes,260,LogReg,precision,0.5383872867634805,0.5420560747663551,0.03163190554158199
11,target_class_lags_all_attributes,260,RandomForest,precision,0.5331228536612386,0.4915254237288136,0.09664097393483298
12,target_class_lags_all_attributes,260,SVC,precision,0.5457948717948717,0.572,0.03782370260342681
13,target_class_lags_all_attributes,260,KNN,precision,0.5492319508448541,0.55625,0.03952669622576663
14,target_class_lags_all_attributes,260,GNB,precision,0.5395253682487725,0.5531914893617021,0.03436072670426958
15,target_class_lags_all_attributes,260,LogReg,recall,0.6443922669394134,0.5906040268456376,0.2269510838524249
16,target_class_lags_all_attributes,260,RandomForest,recall,0.36011384879409153,0.19863013698630136,0.3724146533347812
17,target_class_lags_all_attributes,260,SVC,recall,0.9931506849315069,1.0,0.009686394262829405
18,target_class_lags_all_attributes,260,KNN,recall,0.6538711271490301,0.5973154362416108,0.13787385946669206
19,target_class_lags_all_attributes,260,GNB,recall,0.8447488584474886,1.0,0.2195582699574668
20,target_class_lags_all_attributes,260,LogReg,roc_auc,0.4947735758291847,0.4964024427111675,0.011754384157168013
21,target_class_lags_all_attributes,260,RandomForest,roc_auc,0.4966721840234289,0.5120738636363636,0.02203847810775728
22,target_class_lags_all_attributes,260,SVC,roc_auc,0.47132991806650776,0.4771088680605623,0.023922977656475886
23,target_class_lags_all_attributes,260,KNN,roc_auc,0.4962099730796516,0.4896425189393939,0.022267136357195644
24,target_class_lags_all_attributes,260,GNB,roc_auc,0.46874259464762896,0.47464551790434995,0.020390289652852757
0,target_class_all_returns,260,LogReg,accuracy,0.5128205128205128,0.5153846153846153,0.01580618975120249
1,target_class_all_returns,260,RandomForest,accuracy,0.5282051282051282,0.5384615384615384,0.023148038570856143
2,target_class_all_returns,260,SVC,accuracy,0.5423076923076923,0.5615384615384615,0.035667763444214226
3,target_class_all_returns,260,KNN,accuracy,0.514102564102564,0.5307692307692308,0.02633671613355657
4,target_class_all_returns,260,GNB,accuracy,0.4884615384615385,0.4653846153846154,0.03263569759322526
5,target_class_all_returns,260,LogReg,f1,0.581275337139075,0.588235294117647,0.029906667431293697
6,target_class_all_returns,260,RandomForest,f1,0.5881228720941816,0.5933333333333334,0.033960970524510366
7,target_class_all_returns,260,SVC,f1,0.7025373313537678,0.7192118226600985,0.03046659917334858
8,target_class_all_returns,260,KNN,f1,0.5608513300019292,0.5413533834586465,0.028150983110359202
9,target_class_all_returns,260,GNB,f1,0.502245499271622,0.4714828897338402,0.0691407856690999
10,target_class_all_returns,260,LogReg,precision,0.5452506918430903,0.5492957746478874,0.030841499398149164
11,target_class_all_returns,260,RandomForest,precision,0.5587712056696502,0.569620253164557,0.028494417069313733
12,target_class_all_returns,260,SVC,precision,0.5423076923076923,0.5615384615384615,0.035667763444214226
13,target_class_all_returns,260,KNN,precision,0.5486605182257356,0.5333333333333333,0.030246904034945007
14,target_class_all_returns,260,GNB,precision,0.5337220506502091,0.5299145299145299,0.012854740549124988
15,target_class_all_returns,260,LogReg,recall,0.6294594289172872,0.6510067114093959,0.07060781172929176
