,strategy,test_len,model,metric,mean,median,std
0,target_close_all_lags,260,LR,explained_variance,0.9576111899349785,0.9627224368609418,0.027607424069721227
1,target_close_all_lags,260,Lasso,explained_variance,0.9586647054118801,0.9632821137582604,0.02682556311715773
2,target_close_all_lags,260,Ridge,explained_variance,0.9576116590843617,0.9627206671315822,0.027612738625204664
3,target_close_all_lags,260,RandomForest,explained_variance,0.3559624153362606,0.14858118082189353,0.36028980970588764
4,target_close_all_lags,260,XGB,explained_variance,0.3572045764943297,0.1916987087144385,0.3719094696694205
5,target_close_all_lags,260,SVR,explained_variance,0.9549207987252935,0.9611130321004748,0.029328891885372438
6,target_close_all_lags,260,LR,r2,0.9572649704099775,0.9625989088494147,0.027595343751669055
7,target_close_all_lags,260,Lasso,r2,0.9582841095252872,0.9630943350180783,0.026795576200087108
8,target_close_all_lags,260,Ridge,r2,0.9572651761611856,0.9625970026729361,0.027600801895624145
9,target_close_all_lags,260,RandomForest,r2,-1.1041285112226449,-1.4571987630398295,1.4680508084267445
10,target_close_all_lags,260,XGB,r2,-1.2522620307475076,-1.7154944795399545,1.5688228910264754
11,target_close_all_lags,260,SVR,r2,0.954501130321476,0.9610733673444462,0.029390486178494424
12,target_close_all_lags,260,LR,neg_mean_absolute_error,-0.7833760324209172,-0.5632773706670439,0.5957737502896616
13,target_close_all_lags,260,Lasso,neg_mean_absolute_error,-0.7728102651306151,-0.5643875613244911,0.5872461884719136
14,target_close_all_lags,260,Ridge,neg_mean_absolute_error,-0.783347659819869,-0.5632699928579455,0.5957935856507859
15,target_close_all_lags,260,RandomForest,neg_mean_absolute_error,-7.626429715255501,-4.128930292491859,9.519684392260515
16,target_close_all_lags,260,XGB,neg_mean_absolute_error,-7.548787523742416,-4.196441870469314,9.828885183175352
17,target_close_all_lags,260,SVR,neg_mean_absolute_error,-0.7904631503212426,-0.5755640642563474,0.587324432677094
18,target_close_all_lags,260,LR,neg_mean_squared_error,-1.77525007009412,-0.6124132611330987,2.4059655605469144
19,target_close_all_lags,260,Lasso,neg_mean_squared_error,-1.7291064473728648,-0.6043010497973293,2.353220855342201
20,target_close_all_lags,260,Ridge,neg_mean_squared_error,-1.775210421743598,-0.6124444732640186,2.405981005490819
21,target_close_all_lags,260,RandomForest,neg_mean_squared_error,-200.55950609142855,-27.10585006732625,468.50836253315117
22,target_close_all_lags,260,XGB,neg_mean_squared_error,-208.86797707355964,-23.536344939711267,495.934808601414
23,target_close_all_lags,260,SVR,neg_mean_squared_error,-1.7691718841185398,-0.6373927956683395,2.416971659027672
24,target_close_all_lags,260,LR,neg_median_absolute_error,-0.5733477290986883,-0.4301208676102668,0.4681205844440641
25,target_close_all_lags,260,Lasso,neg_median_absolute_error,-0.5842878498121772,-0.4041760358604769,0.5074439666637852
26,target_close_all_lags,260,Ridge,neg_median_absolute_error,-0.5731287590392498,-0.4299138913841176,0.46836051182822197
27,target_close_all_lags,260,RandomForest,neg_median_absolute_error,-7.342644474679626,-4.676858414025832,9.510877860654606
28,target_close_all_lags,260,XGB,neg_median_absolute_error,-7.435960981580946,-4.116762161254883,10.033371249495882
29,target_close_all_lags,260,SVR,neg_median_absolute_error,-0.5836501641622834,-0.4337834629719417,0.4711091343140084
0,target_close_all_attributes,260,LR,explained_variance,0.9566437050852227,0.9628389367314418,0.026782987992114014
1,target_close_all_attributes,260,Lasso,explained_variance,0.9559962968584141,0.959299375204993,0.0276393587875037
2,target_close_all_attributes,260,Ridge,explained_variance,0.9568489838189278,0.9628447608646985,0.0269242899367095
3,target_close_all_attributes,260,RandomForest,explained_variance,0.3681521349772999,0.22761703697551194,0.3583507972558354
4,target_close_all_attributes,260,XGB,explained_variance,0.335302188407722,0.15418210397349663,0.37482031384282355
5,target_close_all_attributes,260,SVR,explained_variance,0.3343293776646259,0.489253916445625,0.5445654881095514
6,target_close_all_attributes,260,LR,r2,0.9537172539607283,0.9506341011275358,0.02649834752510059
7,target_close_all_attributes,260,Lasso,r2,0.9480424439993305,0.9456666541396901,0.02765149594628775
8,target_close_all_attributes,260,Ridge,r2,0.9547932511454538,0.9606047839953323,0.026598491016078717
9,target_close_all_attributes,260,RandomForest,r2,-1.2258020818139943,-1.523742474116232,1.59052910220124
10,target_close_all_attributes,260,XGB,r2,-1.4434825650761254,-2.112236994857692,1.6622354524131546
11,target_close_all_attributes,260,SVR,r2,-2.752241732680093,-2.1316273625262605,2.9474241898238263
12,target_close_all_attributes,260,LR,neg_mean_absolute_error,-0.8310105441917544,-0.5678714901427611,0.6080001745122021
13,target_close_all_attributes,260,Lasso,neg_mean_absolute_error,-0.898473725494108,-0.625252089251083,0.6617813782969213
14,target_close_all_attributes,260,Ridge,neg_mean_absolute_error,-0.8237201227509604,-0.5673264489779782,0.6131403278444426
15,target_close_all_attributes,260,RandomForest,neg_mean_absolute_error,-7.6025324352812715,-4.271389543681318,9.544096788414782
16,target_close_all_attributes,260,XGB,neg_mean_absolute_error,-7.649250268528604,-5.021905048076923,8.974622783174018
17,target_close_all_attributes,260,SVR,neg_mean_absolute_error,-13.48278896905854,-6.992974137312902,17.645059003577707
18,target_close_all_attributes,260,LR,neg_mean_squared_error,-1.8593001849427173,-0.6101109493150813,2.526712897522304
19,target_close_all_attributes,260,Lasso,neg_mean_squared_error,-2.1316772243305118,-0.7042511129215295,3.1094164096225816
20,target_close_all_attributes,260,Ridge,neg_mean_squared_error,-1.852789905795384,-0.6100218860244356,2.5360359247932056
21,target_close_all_attributes,260,RandomForest,neg_mean_squared_error,-204.36075590037484,-28.045351276003945,476.875946315008
