,strategy,test_len,model,metric,imp
0,target_close_all_lags,260,LR,explained_variance,"[ 3.34302958e+01  2.03774724e+00 -1.62061653e+00  1.21261122e+00
 -1.07578082e-01  3.97980316e-01  2.36454866e-01 -6.79677026e-03
  1.18590250e-01 -1.08815658e-01]"
1,target_close_all_lags,260,Lasso,explained_variance,"[ 3.44196541e+01  5.23924212e-01  0.00000000e+00  3.11837128e-01
  4.34609490e-02  1.54558972e-01  1.24504092e-01  4.07746219e-03
  8.80335280e-03 -0.00000000e+00]"
2,target_close_all_lags,260,Ridge,explained_variance,"[ 3.34292841e+01  2.03858488e+00 -1.62036803e+00  1.21244416e+00
 -1.07493077e-01  3.97972897e-01  2.36473426e-01 -6.80608795e-03
  1.18596586e-01 -1.08816719e-01]"
3,target_close_all_lags,260,RandomForest,explained_variance,"[9.49304198e-01 2.80970905e-02 1.45647187e-02 2.67473750e-04
 7.66914154e-03 1.27798953e-05 1.37453589e-05 1.52553964e-05
 6.67574944e-06 4.89211047e-05]"
4,target_close_all_lags,260,XGB,explained_variance,"[6.8460697e-01 2.1440677e-01 5.7067301e-02 8.6615710e-03 9.5344726e-03
 1.3559277e-02 2.8736462e-04 1.1571690e-03 8.1520493e-04 9.9039432e-03]"
5,target_close_all_lags,260,SVR,explained_variance,"[ 0.93963338  0.05750739 -0.01382808 -0.0144577  -0.00349974  0.04396375
  0.00153398 -0.00253848  0.00775141 -0.01397557]"
6,target_close_all_lags,260,LR,r2,"[ 3.34302958e+01  2.03774724e+00 -1.62061653e+00  1.21261122e+00
 -1.07578082e-01  3.97980316e-01  2.36454866e-01 -6.79677026e-03
  1.18590250e-01 -1.08815658e-01]"
7,target_close_all_lags,260,Lasso,r2,"[ 3.44196541e+01  5.23924212e-01  0.00000000e+00  3.11837128e-01
  4.34609490e-02  1.54558972e-01  1.24504092e-01  4.07746219e-03
  8.80335280e-03 -0.00000000e+00]"
8,target_close_all_lags,260,Ridge,r2,"[ 3.34292841e+01  2.03858488e+00 -1.62036803e+00  1.21244416e+00
 -1.07493077e-01  3.97972897e-01  2.36473426e-01 -6.80608795e-03
  1.18596586e-01 -1.08816719e-01]"
9,target_close_all_lags,260,RandomForest,r2,"[9.49304198e-01 2.80970905e-02 1.45647187e-02 2.67473750e-04
 7.66914154e-03 1.27798953e-05 1.37453589e-05 1.52553964e-05
 6.67574944e-06 4.89211047e-05]"
