Date,open,high,low,close,volume,lag_1,lag_2,lag_3,lag_4,lag_5,lag_10,lag_21,lag_42,lag_63,return_1d,return_2d,return_3d,return_4d,return_5d,return_10d,return_21d,return_42d,return_63d,rsi,bb_high,bb_low,atr,macd,sma_10,sma_20,sma_50,ema_10,ema_20,ema_50,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,target_close,target_return_1d,target_class
2012-04-03,32.15999984741211,32.189998626708984,31.65999984741211,25.554519653320312,42752.1,25.83453941345215,25.81053924560547,25.698535919189453,25.754535675048828,26.01856231689453,25.594520568847656,25.4424991607666,23.805641174316406,21.278024673461914,-0.01083896854712374,-0.009919188043649552,-0.00560406500673849,-0.007766244526873467,-0.017835061673369346,-0.0015628702799782568,0.004402888719613252,0.07346487608536867,0.20098176618772645,51.248359510434774,25.930131522730086,25.530936439916395,6.586190710176107,0.21433980516512108,25.645190556844074,25.794139003753664,25.00802127838135,25.43193092277233,25.43193092277233,24.790493651293822,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.970455169677734,-0.022855623645686163,0
2012-04-04,31.65999984741211,31.690000534057617,31.049999237060547,24.970455169677734,49455.9,25.554519653320312,25.83453941345215,25.81053924560547,25.698535919189453,25.754535675048828,25.5305118560791,25.25048065185547,24.036142349243164,21.77878189086914,-0.022855623645686163,-0.03344686080698933,-0.032548102460539186,-0.028331604251744635,-0.03044436581051302,-0.021936759026161545,-0.011089907001717081,0.03887116355274833,0.14654966906788847,40.44439272306951,26.208689529379754,24.938746231118294,6.553997150930478,0.13635861505053626,25.643590227762857,25.768936157226562,25.041014747619627,25.40215829354042,25.40215829354042,24.79755096574025,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25.21848487854004,0.009932927020228854,0
2012-04-05,31.149999618530273,31.6299991607666,31.049999237060547,25.21848487854004,50368.6,24.970455169677734,25.554519653320312,25.83453941345215,25.81053924560547,25.698535919189453,25.602521896362305,25.474512100219727,24.004358291625977,22.001338958740234,0.009932927020228854,-0.013149719867131648,-0.023846159014212054,-0.022938473366697854,-0.018680092988914376,-0.014999968338151537,-0.010050328762821636,0.0505794227933023,0.14622500593409393,45.681358777988535,26.152100665162312,24.80331467907597,6.561536210941791,0.09349414241928855,25.64759063720703,25.74933433532715,25.075471420288086,25.39030839579846,25.39030839579846,24.81405817800691,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,24.88245391845703,-0.01332478781740598,0
2012-04-09,31.219999313354492,31.399999618530273,30.969999313354492,24.88245391845703,31056.4,25.21848487854004,24.970455169677734,25.554519653320312,25.83453941345215,25.81053924560547,25.61052131652832,25.61052131652832,24.123579025268555,22.343120574951172,-0.01332478781740598,-0.0035242149421275126,-0.02629929045744983,-0.03685320182249363,-0.03595761089363736,-0.028428448959428865,-0.028428448959428865,0.031457807002583715,0.11365168687997418,40.486989097935364,26.007514445474868,24.576666767904037,6.534391820159537,0.03203951727514465,25.637456512451173,25.713731002807616,25.104161186218263,25.35754359080869,25.35754359080869,24.816740363906913,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.378398895263672,-0.02025744827440301,0
2012-04-10,31.059999465942383,31.190000534057617,30.299999237060547,24.378398895263672,54131.3,24.88245391845703,25.21848487854004,24.970455169677734,25.554519653320312,25.83453941345215,26.074562072753906,25.594520568847656,24.36997413635254,22.04903793334961,-0.02025744827440301,-0.03331230989183054,-0.02371027161463246,-0.04602398221575754,-0.05636409826723132,-0.0650504952972003,-0.04751492298176452,0.00034570241494691345,0.10564456231402541,34.2041494645922,25.778706641787146,24.223018364316367,6.5181885912624695,-0.05668333353156285,25.613987731933594,25.650925064086913,25.127062187194824,25.294372965289657,25.294372965289657,24.79955050239149,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.282390594482422,-0.003938252926032115,0
2012-04-11,30.43000030517578,30.530000686645508,30.229999542236328,24.282390594482422,43014.0,24.378398895263672,24.88245391845703,25.21848487854004,24.970455169677734,25.554519653320312,26.01856231689453,25.634517669677734,24.457416534423828,22.128517150878906,-0.003938252926032115,-0.024115922245494525,-0.03711937051595826,-0.027555147494101262,-0.049780981059160845,-0.0667281958651792,-0.0527463435286204,-0.00715635438007356,0.09733473910238799,33.14897065554669,25.4632658509016,24.029607531666763,6.492003819842425,-0.13320835649336615,25.57345027923584,25.558116149902343,25.142002143859862,25.229083780076287,25.229083780076287,24.779269721689175,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.78643798828125,0.02075773354512145,0
2012-04-12,30.479999542236328,31.040000915527344,30.420000076293945,24.78643798828125,38304.0,24.282390594482422,24.378398895263672,24.88245391845703,25.21848487854004,24.970455169677734,25.754535675048828,26.138568878173828,24.24280548095703,22.033138275146484,0.02075773354512145,0.016737731414217416,-0.003858780588539945,-0.01713215097336973,-0.007369396358458902,-0.03758940557043233,-0.05172933897775989,0.022424488277614785,0.12496175890842132,43.077375045711804,25.394876812048967,24.024389697960796,6.51097571278546,-0.15143690595819592,25.553181584676107,25.486508750915526,25.16829502105713,25.20052598705725,25.20052598705725,24.77955083018298,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,24.65042495727539,-0.005487397223843282,0
2012-04-13,30.889999389648438,31.15999984741211,30.719999313354492,24.65042495727539,39749.2,24.78643798828125,24.282390594482422,24.378398895263672,24.88245391845703,25.21848487854004,25.698535919189453,26.218585968017578,24.30638885498047,22.255687713623047,-0.005487397223843282,0.015156430391849218,0.011158487609478351,-0.009325003150494338,-0.022525537279523333,-0.04078485113743091,-0.059811044449730844,0.014154142943550774,0.10760113434672647,41.295143338642696,25.058177649916715,24.133864891587194,6.501160437524417,-0.17484279868514463,25.513711102803548,25.404900741577148,25.186144561767577,25.165035598039065,25.165035598039065,24.774487070461113,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,24.86644172668457,0.008763206710780125,0
2012-04-16,30.989999771118164,31.190000534057617,30.770000457763672,24.86644172668457,38124.8,24.65042495727539,24.78643798828125,24.282390594482422,24.378398895263672,24.88245391845703,25.81053924560547,26.28258514404297,24.20238494873047,22.45440101623535,0.008763206710780125,0.003227722290760182,0.024052456035150938,0.020019478453759953,-0.0006435133699005391,-0.036577985060178175,-0.053881435543617795,0.027437658700198986,0.10741950803787748,45.174745746260506,25.047147287823144,24.13849037697178,6.503904376042832,-0.17395613133960097,25.487041600545247,25.34409456253052,25.20736057281494,25.145771477306518,25.145771477306518,24.77809313541105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25.154478073120117,0.011583335870948064,0
2012-04-17,31.270000457763672,31.610000610351562,31.200000762939453,25.154478073120117,34361.5,24.86644172668457,24.65042495727539,24.78643798828125,24.282390594482422,24.378398895263672,25.83453941345215,26.082565307617188,24.042367935180664,22.46234893798828,0.011583335870948064,0.020448049748365893,0.01484844595310042,0.035914399582875234,0.031834706667599244,-0.026323726134553027,-0.035582666948255626,0.04625626481292322,0.119850739678383,49.92661666566857,25.318678758063992,24.177390577873506,6.521022555158844,-0.14830178448610098,25.477440897623698,25.313691806793212,25.22972728729248,25.14633319316546,25.14633319316546,24.7928533290467,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.914453506469727,-0.009542021343184937,0
