,strategy,test_len,model,metric,imp
0,target_class_lags_all_attributes,260,LogReg,accuracy,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
1,target_class_lags_all_attributes,260,RandomForest,accuracy,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
2,target_class_lags_all_attributes,260,SVC,accuracy,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
3,target_class_lags_all_attributes,260,KNN,accuracy,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
4,target_class_lags_all_attributes,260,GNB,accuracy,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
5,target_class_lags_all_attributes,260,LogReg,f1,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
6,target_class_lags_all_attributes,260,RandomForest,f1,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
7,target_class_lags_all_attributes,260,SVC,f1,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
8,target_class_lags_all_attributes,260,KNN,f1,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
9,target_class_lags_all_attributes,260,GNB,f1,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
