,strategy,test_len,model,metric,mean,median,std
0,target_close_all_lags,260,LR,explained_variance,0.9686932111480469,0.9819599833893938,0.028525501177459573
1,target_close_all_lags,260,Lasso,explained_variance,0.9693719361209645,0.9818354346983712,0.0276772758725753
2,target_close_all_lags,260,Ridge,explained_variance,0.9686692176713232,0.981940679799225,0.028601323945161804
3,target_close_all_lags,260,RandomForest,explained_variance,0.2025077686616218,0.08320926168256082,0.28465029561610095
4,target_close_all_lags,260,XGB,explained_variance,0.17576349427963361,0.07677972737784655,0.3115201408615174
5,target_close_all_lags,260,SVR,explained_variance,0.8905593553412502,0.9591334459659168,0.12968472962171654
6,target_close_all_lags,260,LR,r2,0.9671572875645614,0.9744178622532416,0.028805576418116742
7,target_close_all_lags,260,Lasso,r2,0.967956769237686,0.9735397862566325,0.027437728022765104
8,target_close_all_lags,260,Ridge,r2,0.967096492026384,0.974098034538591,0.02888078579067375
9,target_close_all_lags,260,RandomForest,r2,-1.458591533316458,-1.5990576979849682,1.176386212933424
10,target_close_all_lags,260,XGB,r2,-1.680663319966122,-1.484194440191526,1.3406969696436657
11,target_close_all_lags,260,SVR,r2,0.6661573770040896,0.959015441488168,0.7096095188973465
12,target_close_all_lags,260,LR,neg_mean_absolute_error,-1.5989451056296717,-0.8434002629320523,1.4762193992159136
13,target_close_all_lags,260,Lasso,neg_mean_absolute_error,-1.5714948843454435,-0.8443334756421409,1.4370643414134878
14,target_close_all_lags,260,Ridge,neg_mean_absolute_error,-1.5992269791663527,-0.8431920029769043,1.475922846236613
15,target_close_all_lags,260,RandomForest,neg_mean_absolute_error,-15.03656044826463,-7.913065624727778,13.474345557998458
16,target_close_all_lags,260,XGB,neg_mean_absolute_error,-16.02346638410519,-8.796190922076885,14.850583400262177
17,target_close_all_lags,260,SVR,neg_mean_absolute_error,-2.584516095785001,-1.81340946666969,1.8756082899152149
18,target_close_all_lags,260,LR,neg_mean_squared_error,-8.339345721055043,-1.4719351514779504,12.149836256706784
19,target_close_all_lags,260,Lasso,neg_mean_squared_error,-7.989375615596013,-1.4550547539318393,11.562995767333755
20,target_close_all_lags,260,Ridge,neg_mean_squared_error,-8.33915495746071,-1.4710521164285733,12.149385818967593
21,target_close_all_lags,260,RandomForest,neg_mean_squared_error,-606.2939391399262,-128.90974643762468,885.3387156135205
22,target_close_all_lags,260,XGB,neg_mean_squared_error,-689.3071933378369,-106.01666740555436,1038.6417375124915
23,target_close_all_lags,260,SVR,neg_mean_squared_error,-16.09604512486566,-5.771325696124542,19.486378254636094
24,target_close_all_lags,260,LR,neg_median_absolute_error,-1.2121520924234768,-0.5836701405708666,1.1764806233572183
25,target_close_all_lags,260,Lasso,neg_median_absolute_error,-1.193250612643782,-0.59062170194251,1.1675216410936708
26,target_close_all_lags,260,Ridge,neg_median_absolute_error,-1.2121706761336541,-0.5845086855782782,1.1763749711309708
27,target_close_all_lags,260,RandomForest,neg_median_absolute_error,-13.668187161716087,-6.777775945663457,12.977019974720132
28,target_close_all_lags,260,XGB,neg_median_absolute_error,-14.587043762207035,-7.169189453125,14.104333431589241
29,target_close_all_lags,260,SVR,neg_median_absolute_error,-2.138760476028518,-1.4127936295230015,1.6499902395476784
0,target_close_all_attributes,260,LR,explained_variance,0.9646640570207086,0.9702711979637189,0.030301981256025772
1,target_close_all_attributes,260,Lasso,explained_variance,0.9655795466224164,0.9788035833150837,0.029488257698743504
2,target_close_all_attributes,260,Ridge,explained_variance,0.9668728081679075,0.9785648400668494,0.030303989848902976
3,target_close_all_attributes,260,RandomForest,explained_variance,0.19475663124766973,0.060550966421815344,0.2889985399903433
4,target_close_all_attributes,260,XGB,explained_variance,0.18490029987599912,0.1025537743787952,0.32375608849189835
5,target_close_all_attributes,260,SVR,explained_variance,0.076321953941233,0.48379346283322044,0.5828063403984437
6,target_close_all_attributes,260,LR,r2,0.9485176819708909,0.9694148266629742,0.05326384212032619
7,target_close_all_attributes,260,Lasso,r2,0.9619927145722786,0.9636791786326381,0.03040423412418611
8,target_close_all_attributes,260,Ridge,r2,0.9630778836306797,0.9694587718552334,0.031691029389932096
9,target_close_all_attributes,260,RandomForest,r2,-1.4575512208924797,-1.623355782016033,1.1600328088984497
10,target_close_all_attributes,260,XGB,r2,-1.6615224707612974,-2.2410104529981036,1.3149457277639818
11,target_close_all_attributes,260,SVR,r2,-10.046124880826435,-8.785107163905929,6.774407290122374
12,target_close_all_attributes,260,LR,neg_mean_absolute_error,-1.7687819686304513,-1.1762039611950326,1.5294986376878827
13,target_close_all_attributes,260,Lasso,neg_mean_absolute_error,-1.8127318432341655,-0.9627805472269063,1.6990542316486534
14,target_close_all_attributes,260,Ridge,neg_mean_absolute_error,-1.6930008962042737,-0.8546360434098056,1.562614925005665
15,target_close_all_attributes,260,RandomForest,neg_mean_absolute_error,-15.193717199057327,-9.122164898005783,13.504282625535676
16,target_close_all_attributes,260,XGB,neg_mean_absolute_error,-15.347748112474749,-8.14120715214656,13.781708548101351
17,target_close_all_attributes,260,SVR,neg_mean_absolute_error,-43.04214761297412,-23.093304821805752,41.00152514600188
18,target_close_all_attributes,260,LR,neg_mean_squared_error,-9.416865806783408,-1.7041485718462257,13.931988755123026
19,target_close_all_attributes,260,Lasso,neg_mean_squared_error,-10.576068871347736,-1.7026975281928214,15.917461311888374
20,target_close_all_attributes,260,Ridge,neg_mean_squared_error,-9.224198279544478,-1.453321189774223,13.901591165007401
21,target_close_all_attributes,260,RandomForest,neg_mean_squared_error,-619.9773972445237,-106.24007165977373,921.2965497523095
22,target_close_all_attributes,260,XGB,neg_mean_squared_error,-631.210715684682,-92.95930312695116,934.2158930071682
23,target_close_all_attributes,260,SVR,neg_mean_squared_error,-4073.785666062752,-589.7849529349122,5828.65952055383
24,target_close_all_attributes,260,LR,neg_median_absolute_error,-1.3655135130699003,-0.9291906188546122,1.2111035494266253
25,target_close_all_attributes,260,Lasso,neg_median_absolute_error,-1.3690218898346767,-0.6927949481993991,1.2772597170866387
26,target_close_all_attributes,260,Ridge,neg_median_absolute_error,-1.2699072752736855,-0.5861468632939832,1.254436675711629
27,target_close_all_attributes,260,RandomForest,neg_median_absolute_error,-13.812112393034411,-7.1326632643502705,12.87936486769368
28,target_close_all_attributes,260,XGB,neg_median_absolute_error,-13.977347373962402,-7.418581008911133,12.95972571683028
29,target_close_all_attributes,260,SVR,neg_median_absolute_error,-41.183017651641485,-23.204574455944837,38.255648780802510,
0,target_return_1d_all_returns,260,LR,explained_variance,-0.007776480468350024,-0.003138753766073199,0.025352265723922324
1,target_return_1d_all_returns,260,Lasso,explained_variance,0.00033012653509686035,0.007803853541900163,0.01910284211970724
2,target_return_1d_all_returns,260,Ridge,explained_variance,-0.005480363420271472,-0.0017989307196097926,0.024070082246472693
3,target_return_1d_all_returns,260,RandomForest,explained_variance,0.008288560673675609,0.004847086949638202,0.024340211308925434
4,target_return_1d_all_returns,260,XGB,explained_variance,-0.08582777140755744,-0.07586172632686972,0.09910359508660951
5,target_return_1d_all_returns,260,SVR,explained_variance,-0.03028065789770064,-0.034226679484375966,0.029692053655277998
6,target_return_1d_all_returns,260,LR,r2,-0.016528375931716917,-0.011846756510872414,0.026755190312827973
7,target_return_1d_all_returns,260,Lasso,r2,-0.008019506878092905,-0.002743167023596449,0.020828966583384803
8,target_return_1d_all_returns,260,Ridge,r2,-0.014189640688735579,-0.010294243075816834,0.02559483051793268
9,target_return_1d_all_returns,260,RandomForest,r2,-0.002451603052641249,0.000731873814285855,0.017961341364351038
10,target_return_1d_all_returns,260,XGB,r2,-0.12047625558141616,-0.07623863475744264,0.1773935640552448
11,target_return_1d_all_returns,260,SVR,r2,-1.0779243343991738,-0.1711458772098875,2.1559756644769776
12,target_return_1d_all_returns,260,LR,neg_mean_absolute_error,-0.011765987034373735,-0.010979219687209519,0.003242206095200046
13,target_return_1d_all_returns,260,Lasso,neg_mean_absolute_error,-0.011701896728042728,-0.01080974505395925,0.0032319784425480966
14,target_return_1d_all_returns,260,Ridge,neg_mean_absolute_error,-0.011748721174283636,-0.010922280431552835,0.0032464354170367313
15,target_return_1d_all_returns,260,RandomForest,neg_mean_absolute_error,-0.011601714571245335,-0.010566270231430723,0.0031708010225661785
16,target_return_1d_all_returns,260,XGB,neg_mean_absolute_error,-0.012310662587732196,-0.010852729382156397,0.003818603659259079
17,target_return_1d_all_returns,260,SVR,neg_mean_absolute_error,-0.01660501542961725,-0.013332587561525827,0.007904065227346914
18,target_return_1d_all_returns,260,LR,neg_mean_squared_error,-0.0002956600533932558,-0.0002589295373248397,0.0001764184007691293
19,target_return_1d_all_returns,260,Lasso,neg_mean_squared_error,-0.000293120233406949,-0.00025506352454719467,0.0001739817303002063
20,target_return_1d_all_returns,260,Ridge,neg_mean_squared_error,-0.00029512368026858777,-0.00025755211041217173,0.00017636382464432848
21,target_return_1d_all_returns,260,RandomForest,neg_mean_squared_error,-0.0002919935648410964,-0.00025373409497235917,0.00017260135140230218
22,target_return_1d_all_returns,260,XGB,neg_mean_squared_error,-0.00033287915488778387,-0.0002674695925911761,0.00021454118620259783
23,target_return_1d_all_returns,260,SVR,neg_mean_squared_error,-0.000502411956761015,-0.0003093305427389244,0.00039095018524908163
24,target_return_1d_all_returns,260,LR,neg_median_absolute_error,-0.008559834772826895,-0.008196247105682853,0.00234467705583428
25,target_return_1d_all_returns,260,Lasso,neg_median_absolute_error,-0.008513832087581805,-0.007966627608796881,0.0024461264840862436
26,target_return_1d_all_returns,260,Ridge,neg_median_absolute_error,-0.008551311202765734,-0.00816121146421677,0.0023436685881988184
27,target_return_1d_all_returns,260,RandomForest,neg_median_absolute_error,-0.008322141220839794,-0.007799189895609422,0.0023765915529398197
28,target_return_1d_all_returns,260,XGB,neg_median_absolute_error,-0.009025079684306306,-0.007681585573592157,0.0028435004887713534
29,target_return_1d_all_returns,260,SVR,neg_median_absolute_error,-0.013769176545977582,-0.01023175374457179,0.008435130237107066
0,target_return_1d_all_attributes,260,LR,explained_variance,-0.26671713764688065,-0.053904502534742216,0.6160827413906514
1,target_return_1d_all_attributes,260,Lasso,explained_variance,1.2335811384723961e-17,0.0,3.489094352630611e-17
2,target_return_1d_all_attributes,260,Ridge,explained_variance,-0.020632826615076965,-0.020300206323125014,0.0354463547369466
3,target_return_1d_all_attributes,260,RandomForest,explained_variance,-0.4553876824350799,-0.03764733411684129,1.2040299710723599
4,target_return_1d_all_attributes,260,XGB,explained_variance,-1.0501782615427482,-0.1751984873476815,2.059414619294224
5,target_return_1d_all_attributes,260,SVR,explained_variance,-0.009967496728442486,-0.0014894237947611355,0.012416627511735933
6,target_return_1d_all_attributes,260,LR,r2,-1.5499998416392224,-0.06466592100605895,4.030660212126007
7,target_return_1d_all_attributes,260,Lasso,r2,-0.004127405624165779,-0.002822587950281674,0.0031766943976371184
8,target_return_1d_all_attributes,260,Ridge,r2,-0.07282633659397923,-0.036254633320566665,0.08165260220602111
9,target_return_1d_all_attributes,260,RandomForest,r2,-1.6605964420236419,-0.028257411947351985,4.036492068188128
10,target_return_1d_all_attributes,260,XGB,r2,-4.511277553992587,-0.21290150483052583,9.147757897188738
11,target_return_1d_all_attributes,260,SVR,r2,-1.0565044919848539,-0.13934824252877753,2.16459307247524
12,target_return_1d_all_attributes,260,LR,neg_mean_absolute_error,-0.016666969053498105,-0.012143385238851636,0.010991079793062783
13,target_return_1d_all_attributes,260,Lasso,neg_mean_absolute_error,-0.011608369158061072,-0.010440594116284055,0.0031811245547974194
14,target_return_1d_all_attributes,260,Ridge,neg_mean_absolute_error,-0.012242353616885877,-0.011198368129038553,0.003543220765237747
15,target_return_1d_all_attributes,260,RandomForest,neg_mean_absolute_error,-0.016917157088995473,-0.012112828791851786,0.012119021151161775
16,target_return_1d_all_attributes,260,XGB,neg_mean_absolute_error,-0.023508997522165904,-0.02098351241196458,0.017242188039925953
17,target_return_1d_all_attributes,260,SVR,neg_mean_absolute_error,-0.01645799175164041,-0.013083464853208113,0.00800306329325094
18,target_return_1d_all_attributes,260,LR,neg_mean_squared_error,-0.0005940626620029718,-0.0002897481226971358,0.0007185596718879427
19,target_return_1d_all_attributes,260,Lasso,neg_mean_squared_error,-0.0002927622538454764,-0.00024643139783259117,0.00017618812294761628
20,target_return_1d_all_attributes,260,Ridge,neg_mean_squared_error,-0.00031569510512705995,-0.0002625406711533751,0.00019378094145918443
21,target_return_1d_all_attributes,260,RandomForest,neg_mean_squared_error,-0.0005990600147845976,-0.00032121413759594506,0.0007324902812336032
22,target_return_1d_all_attributes,260,XGB,neg_mean_squared_error,-0.00117921528549385,-0.0007651594752706188,0.001614676683369883
23,target_return_1d_all_attributes,260,SVR,neg_mean_squared_error,-0.0004986464730165024,-0.00031574355859180394,0.00039276531402941765
24,target_return_1d_all_attributes,260,LR,neg_median_absolute_error,-0.014307324465504994,-0.009459809536449926,0.012886478664460717
25,target_return_1d_all_attributes,260,Lasso,neg_median_absolute_error,-0.0083684503352614,-0.007339609974340156,0.002491603103932371
26,target_return_1d_all_attributes,260,Ridge,neg_median_absolute_error,-0.008973612790549097,-0.008139675623871226,0.002720984379074713
27,target_return_1d_all_attributes,260,RandomForest,neg_median_absolute_error,-0.01510231190432281,-0.010468047190474889,0.013902767990447661
28,target_return_1d_all_attributes,260,XGB,neg_median_absolute_error,-0.022695522180029085,-0.017536234768202312,0.022233229535893486
29,target_return_1d_all_attributes,260,SVR,neg_median_absolute_error,-0.013541179336305161,-0.00987874133394218,0.008584687347485713
