,strategy,test_len,model,metric,imp
0,target_close_all_lags,260,LR,explained_variance,"[77.71164556 10.88469896 -2.00482519  2.58009885  2.56696131 -4.15504162
  1.71273033 -0.90896697  1.12997184 -0.18588131]"
1,target_close_all_lags,260,Lasso,explained_variance,"[ 8.21213887e+01  6.23070030e+00  0.00000000e+00  6.30453622e-01
  0.00000000e+00 -8.19209712e-01  8.96365875e-01 -4.91054524e-01
  7.87530194e-01 -2.34094338e-02]"
2,target_close_all_lags,260,Ridge,explained_variance,"[77.70859724 10.88679991 -2.00376542  2.57988434  2.56672853 -4.15468204
  1.7126714  -0.90896459  1.12998577 -0.1858643 ]"
3,target_close_all_lags,260,RandomForest,explained_variance,"[3.76120606e-01 1.65909298e-01 3.38919901e-01 4.65887952e-02
 1.75229252e-02 3.09157366e-02 2.37010354e-02 1.14281608e-04
 4.62473004e-05 1.61173210e-04]"
4,target_close_all_lags,260,XGB,explained_variance,"[2.2605050e-01 6.4148098e-01 3.3412587e-02 3.7926348e-04 6.6130415e-02
 5.3998157e-03 1.3539845e-03 1.8821354e-03 1.9299181e-02 4.6110954e-03]"
5,target_close_all_lags,260,SVR,explained_variance,"[ 0.92102785  0.09028436 -0.03738774  0.02317554 -0.02399848  0.02565088
  0.01452684 -0.02256056  0.01520768 -0.00553757]"
6,target_close_all_lags,260,LR,r2,"[77.71164556 10.88469896 -2.00482519  2.58009885  2.56696131 -4.15504162
  1.71273033 -0.90896697  1.12997184 -0.18588131]"
7,target_close_all_lags,260,Lasso,r2,"[ 8.21213887e+01  6.23070030e+00  0.00000000e+00  6.30453622e-01
  0.00000000e+00 -8.19209712e-01  8.96365875e-01 -4.91054524e-01
  7.87530194e-01 -2.34094338e-02]"
8,target_close_all_lags,260,Ridge,r2,"[77.70859724 10.88679991 -2.00376542  2.57988434  2.56672853 -4.15468204
  1.7126714  -0.90896459  1.12998577 -0.1858643 ]"
9,target_close_all_lags,260,RandomForest,r2,"[3.76120606e-01 1.65909298e-01 3.38919901e-01 4.65887952e-02
 1.75229252e-02 3.09157366e-02 2.37010354e-02 1.14281608e-04
 4.62473004e-05 1.61173210e-04]"
10,target_close_all_lags,260,XGB,r2,"[2.2605050e-01 6.4148098e-01 3.3412587e-02 3.7926348e-04 6.6130415e-02
 5.3998157e-03 1.3539845e-03 1.8821354e-03 1.9299181e-02 4.6110954e-03]"
11,target_close_all_lags,260,SVR,r2,"[ 0.92102785  0.09028436 -0.03738774  0.02317554 -0.02399848  0.02565088
  0.01452684 -0.02256056  0.01520768 -0.00553757]"
12,target_close_all_lags,260,LR,neg_mean_absolute_error,"[77.71164556 10.88469896 -2.00482519  2.58009885  2.56696131 -4.15504162
  1.71273033 -0.90896697  1.12997184 -0.18588131]"
