,strategy,test_len,model,metric,imp
0,target_class_lags_all_attributes,260,LogReg,accuracy,"[ 5.41997354e-03  4.79850452e-03  5.54627202e-03  4.28076606e-03
  7.83787415e-06  4.63624010e-03  2.76819568e-03  1.19729566e-03
  2.11784453e-04 -7.95878643e-04 -4.08923278e-03 -9.17243685e-03
  5.17656854e-03  1.98216148e-03 -4.13213372e-02  1.56822230e-03
  3.66949049e-03 -1.75752354e-03  1.94819302e-03 -4.30378719e-03
 -3.69135804e-03 -2.85317416e-03 -2.35149063e-03 -2.35149063e-03
 -1.83807113e-03 -4.36182733e-04 -3.00171127e-04 -3.49719270e-04
 -3.38889239e-04  2.13997999e-04 -1.16819914e-05 -1.39617027e-05
  8.23774802e-06 -2.42743711e-04 -2.16315568e-04 -1.04009848e-04
  8.41779418e-05  6.57153332e-05 -2.59465478e-04 -2.22331768e-04
 -1.81672717e-04 -1.16912609e-04]"
1,target_class_lags_all_attributes,260,RandomForest,accuracy,"[ 5.41997354e-03  4.79850452e-03  5.54627202e-03  4.28076606e-03
  7.83787415e-06  4.63624010e-03  2.76819568e-03  1.19729566e-03
  2.11784453e-04 -7.95878643e-04 -4.08923278e-03 -9.17243685e-03
  5.17656854e-03  1.98216148e-03 -4.13213372e-02  1.56822230e-03
  3.66949049e-03 -1.75752354e-03  1.94819302e-03 -4.30378719e-03
 -3.69135804e-03 -2.85317416e-03 -2.35149063e-03 -2.35149063e-03
 -1.83807113e-03 -4.36182733e-04 -3.00171127e-04 -3.49719270e-04
 -3.38889239e-04  2.13997999e-04 -1.16819914e-05 -1.39617027e-05
  8.23774802e-06 -2.42743711e-04 -2.16315568e-04 -1.04009848e-04
  8.41779418e-05  6.57153332e-05 -2.59465478e-04 -2.22331768e-04
 -1.81672717e-04 -1.16912609e-04]"
2,target_class_lags_all_attributes,260,SVC,accuracy,"[ 5.41997354e-03  4.79850452e-03  5.54627202e-03  4.28076606e-03
  7.83787415e-06  4.63624010e-03  2.76819568e-03  1.19729566e-03
  2.11784453e-04 -7.95878643e-04 -4.08923278e-03 -9.17243685e-03
  5.17656854e-03  1.98216148e-03 -4.13213372e-02  1.56822230e-03
  3.66949049e-03 -1.75752354e-03  1.94819302e-03 -4.30378719e-03
 -3.69135804e-03 -2.85317416e-03 -2.35149063e-03 -2.35149063e-03
 -1.83807113e-03 -4.36182733e-04 -3.00171127e-04 -3.49719270e-04
 -3.38889239e-04  2.13997999e-04 -1.16819914e-05 -1.39617027e-05
  8.23774802e-06 -2.42743711e-04 -2.16315568e-04 -1.04009848e-04
  8.41779418e-05  6.57153332e-05 -2.59465478e-04 -2.22331768e-04
 -1.81672717e-04 -1.16912609e-04]"
3,target_class_lags_all_attributes,260,KNN,accuracy,"[ 5.41997354e-03  4.79850452e-03  5.54627202e-03  4.28076606e-03
  7.83787415e-06  4.63624010e-03  2.76819568e-03  1.19729566e-03
  2.11784453e-04 -7.95878643e-04 -4.08923278e-03 -9.17243685e-03
  5.17656854e-03  1.98216148e-03 -4.13213372e-02  1.56822230e-03
  3.66949049e-03 -1.75752354e-03  1.94819302e-03 -4.30378719e-03
 -3.69135804e-03 -2.85317416e-03 -2.35149063e-03 -2.35149063e-03
 -1.83807113e-03 -4.36182733e-04 -3.00171127e-04 -3.49719270e-04
 -3.38889239e-04  2.13997999e-04 -1.16819914e-05 -1.39617027e-05
  8.23774802e-06 -2.42743711e-04 -2.16315568e-04 -1.04009848e-04
  8.41779418e-05  6.57153332e-05 -2.59465478e-04 -2.22331768e-04
 -1.81672717e-04 -1.16912609e-04]"
4,target_class_lags_all_attributes,260,GNB,accuracy,"[ 5.41997354e-03  4.79850452e-03  5.54627202e-03  4.28076606e-03
  7.83787415e-06  4.63624010e-03  2.76819568e-03  1.19729566e-03
  2.11784453e-04 -7.95878643e-04 -4.08923278e-03 -9.17243685e-03
  5.17656854e-03  1.98216148e-03 -4.13213372e-02  1.56822230e-03
  3.66949049e-03 -1.75752354e-03  1.94819302e-03 -4.30378719e-03
 -3.69135804e-03 -2.85317416e-03 -2.35149063e-03 -2.35149063e-03
 -1.83807113e-03 -4.36182733e-04 -3.00171127e-04 -3.49719270e-04
 -3.38889239e-04  2.13997999e-04 -1.16819914e-05 -1.39617027e-05
  8.23774802e-06 -2.42743711e-04 -2.16315568e-04 -1.04009848e-04
  8.41779418e-05  6.57153332e-05 -2.59465478e-04 -2.22331768e-04
 -1.81672717e-04 -1.16912609e-04]"
5,target_class_lags_all_attributes,260,LogReg,f1,"[ 5.41997354e-03  4.79850452e-03  5.54627202e-03  4.28076606e-03
  7.83787415e-06  4.63624010e-03  2.76819568e-03  1.19729566e-03
  2.11784453e-04 -7.95878643e-04 -4.08923278e-03 -9.17243685e-03
  5.17656854e-03  1.98216148e-03 -4.13213372e-02  1.56822230e-03
  3.66949049e-03 -1.75752354e-03  1.94819302e-03 -4.30378719e-03
 -3.69135804e-03 -2.85317416e-03 -2.35149063e-03 -2.35149063e-03
 -1.83807113e-03 -4.36182733e-04 -3.00171127e-04 -3.49719270e-04
 -3.38889239e-04  2.13997999e-04 -1.16819914e-05 -1.39617027e-05
  8.23774802e-06 -2.42743711e-04 -2.16315568e-04 -1.04009848e-04
  8.41779418e-05  6.57153332e-05 -2.59465478e-04 -2.22331768e-04
 -1.81672717e-04 -1.16912609e-04]"
6,target_class_lags_all_attributes,260,RandomForest,f1,"[ 5.41997354e-03  4.79850452e-03  5.54627202e-03  4.28076606e-03
  7.83787415e-06  4.63624010e-03  2.76819568e-03  1.19729566e-03
  2.11784453e-04 -7.95878643e-04 -4.08923278e-03 -9.17243685e-03
  5.17656854e-03  1.98216148e-03 -4.13213372e-02  1.56822230e-03
  3.66949049e-03 -1.75752354e-03  1.94819302e-03 -4.30378719e-03
 -3.69135804e-03 -2.85317416e-03 -2.35149063e-03 -2.35149063e-03
 -1.83807113e-03 -4.36182733e-04 -3.00171127e-04 -3.49719270e-04
 -3.38889239e-04  2.13997999e-04 -1.16819914e-05 -1.39617027e-05
  8.23774802e-06 -2.42743711e-04 -2.16315568e-04 -1.04009848e-04
  8.41779418e-05  6.57153332e-05 -2.59465478e-04 -2.22331768e-04
 -1.81672717e-04 -1.16912609e-04]"
7,target_class_lags_all_attributes,260,SVC,f1,"[ 5.41997354e-03  4.79850452e-03  5.54627202e-03  4.28076606e-03
  7.83787415e-06  4.63624010e-03  2.76819568e-03  1.19729566e-03
  2.11784453e-04 -7.95878643e-04 -4.08923278e-03 -9.17243685e-03
  5.17656854e-03  1.98216148e-03 -4.13213372e-02  1.56822230e-03
  3.66949049e-03 -1.75752354e-03  1.94819302e-03 -4.30378719e-03
 -3.69135804e-03 -2.85317416e-03 -2.35149063e-03 -2.35149063e-03
 -1.83807113e-03 -4.36182733e-04 -3.00171127e-04 -3.49719270e-04
 -3.38889239e-04  2.13997999e-04 -1.16819914e-05 -1.39617027e-05
  8.23774802e-06 -2.42743711e-04 -2.16315568e-04 -1.04009848e-04
  8.41779418e-05  6.57153332e-05 -2.59465478e-04 -2.22331768e-04
 -1.81672717e-04 -1.16912609e-04]"
8,target_class_lags_all_attributes,260,KNN,f1,"[ 5.41997354e-03  4.79850452e-03  5.54627202e-03  4.28076606e-03
  7.83787415e-06  4.63624010e-03  2.76819568e-03  1.19729566e-03
  2.11784453e-04 -7.95878643e-04 -4.08923278e-03 -9.17243685e-03
  5.17656854e-03  1.98216148e-03 -4.13213372e-02  1.56822230e-03
  3.66949049e-03 -1.75752354e-03  1.94819302e-03 -4.30378719e-03
 -3.69135804e-03 -2.85317416e-03 -2.35149063e-03 -2.35149063e-03
 -1.83807113e-03 -4.36182733e-04 -3.00171127e-04 -3.49719270e-04
 -3.38889239e-04  2.13997999e-04 -1.16819914e-05 -1.39617027e-05
  8.23774802e-06 -2.42743711e-04 -2.16315568e-04 -1.04009848e-04
  8.41779418e-05  6.57153332e-05 -2.59465478e-04 -2.22331768e-04
 -1.81672717e-04 -1.16912609e-04]"
9,target_class_lags_all_attributes,260,GNB,f1,"[ 5.41997354e-03  4.79850452e-03  5.54627202e-03  4.28076606e-03
  7.83787415e-06  4.63624010e-03  2.76819568e-03  1.19729566e-03
  2.11784453e-04 -7.95878643e-04 -4.08923278e-03 -9.17243685e-03
  5.17656854e-03  1.98216148e-03 -4.13213372e-02  1.56822230e-03
  3.66949049e-03 -1.75752354e-03  1.94819302e-03 -4.30378719e-03
 -3.69135804e-03 -2.85317416e-03 -2.35149063e-03 -2.35149063e-03
 -1.83807113e-03 -4.36182733e-04 -3.00171127e-04 -3.49719270e-04
 -3.38889239e-04  2.13997999e-04 -1.16819914e-05 -1.39617027e-05
  8.23774802e-06 -2.42743711e-04 -2.16315568e-04 -1.04009848e-04
  8.41779418e-05  6.57153332e-05 -2.59465478e-04 -2.22331768e-04
 -1.81672717e-04 -1.16912609e-04]"
