,strategy,test_len,model,metric,mean,median,std
0,target_class_lags_all_attributes,260,LogReg,accuracy,0.517948717948718,0.49230769230769234,0.05638111135204107
1,target_class_lags_all_attributes,260,RandomForest,accuracy,0.5358974358974359,0.5461538461538461,0.032230269461478264
2,target_class_lags_all_attributes,260,SVC,accuracy,0.5512820512820513,0.55,0.0018130943107347308
3,target_class_lags_all_attributes,260,KNN,accuracy,0.5358974358974359,0.5423076923076923,0.011889254481404706
4,target_class_lags_all_attributes,260,GNB,accuracy,0.48333333333333334,0.4846153846153846,0.02670854699487133
5,target_class_lags_all_attributes,260,LogReg,f1,0.6101269749404922,0.6170798898071626,0.03786392548786475
6,target_class_lags_all_attributes,260,RandomForest,f1,0.28011303426351114,0.2631578947368421,0.23593804878944563
7,target_class_lags_all_attributes,260,SVC,f1,0.23746162543791935,0.29268292682926833,0.08289063682647248
8,target_class_lags_all_attributes,260,KNN,f1,0.365031513030631,0.38341968911917096,0.0925675815960567
9,target_class_lags_all_attributes,260,GNB,f1,0.6357534421125383,0.6337209302325582,0.013207727723647507
10,target_class_lags_all_attributes,260,LogReg,precision,0.499064179162648,0.4881889763779528,0.040914854923460496
11,target_class_lags_all_attributes,260,RandomForest,precision,0.38223261250730567,0.4915254237288136,0.27841385488440945
12,target_class_lags_all_attributes,260,SVC,precision,0.5438317426652528,0.5217391304347826,0.047452873986219474
13,target_class_lags_all_attributes,260,KNN,precision,0.4971430870754869,0.5,0.007520778757609484
14,target_class_lags_all_attributes,260,GNB,precision,0.47230542319037894,0.4823008849557522,0.015800593975017315
15,target_class_lags_all_attributes,260,LogReg,recall,0.836396183853811,0.9572649572649573,0.19024491295753948
16,target_class_lags_all_attributes,260,RandomForest,recall,0.3412698412698412,0.2222222222222222,0.33790018468692123
17,target_class_lags_all_attributes,260,SVC,recall,0.15672619909908045,0.1984126984126984,0.06250601123121248
18,target_class_lags_all_attributes,260,KNN,recall,0.3045880672999317,0.3162393162393162,0.112770075019626
19,target_class_lags_all_attributes,260,GNB,recall,0.9745762711864406,1.0,0.03595458209423124
20,target_class_lags_all_attributes,260,LogReg,roc_auc,0.5268026111316408,0.4849082541390234,0.06068512677429964
21,target_class_lags_all_attributes,260,RandomForest,roc_auc,0.5616628770143497,0.550684358376666,0.029723010063886293
22,target_class_lags_all_attributes,260,SVC,roc_auc,0.5332665848642578,0.5253640486989734,0.01909692863321525
23,target_class_lags_all_attributes,260,KNN,roc_auc,0.5369993234314296,0.5303329149482996,0.021485941884070846
24,target_class_lags_all_attributes,260,GNB,roc_auc,0.48205577696574836,0.479708325862172,0.04047910794695742
0,target_class_all_returns,260,LogReg,accuracy,0.5371794871794872,0.5461538461538461,0.01549108458153153
1,target_class_all_returns,260,RandomForest,accuracy,0.541025641025641,0.5538461538461539,0.018130943107347412
2,target_class_all_returns,260,SVC,accuracy,0.5474358974358974,0.55,0.006537204504606162
3,target_class_all_returns,260,KNN,accuracy,0.5384615384615384,0.5461538461538461,0.013688561861578586
4,target_class_all_returns,260,GNB,accuracy,0.5448717948717948,0.5576923076923077,0.026708546994871366
5,target_class_all_returns,260,LogReg,f1,0.0,0.0,0.0
6,target_class_all_returns,260,RandomForest,f1,0.08084636902599555,0.06451612903225806,0.05996103119369758
7,target_class_all_returns,260,SVC,f1,0.07945650568601388,0.04918032786885246,0.08014828978806718
8,target_class_all_returns,260,KNN,f1,0.005249343832020997,0.0,0.007423693240803648
9,target_class_all_returns,260,GNB,f1,0.13585350348099792,0.13846153846153847,0.06939626948552632
10,target_class_all_returns,260,LogReg,precision,0.0,0.0,0.0
11,target_class_all_returns,260,RandomForest,precision,0.7666666666666666,0.8,0.20548046676563256
12,target_class_all_returns,260,SVC,precision,0.4621212121212121,0.6363636363636364,0.3300457713756358
13,target_class_all_returns,260,KNN,precision,0.3333333333333333,0.0,0.4714045207910317
14,target_class_all_returns,260,GNB,precision,0.6578947368421052,0.75,0.13025651232383773
15,target_class_all_returns,260,LogReg,recall,0.0,0.0,0.0
16,target_class_all_returns,260,RandomForest,recall,0.045894469623283175,0.03389830508474576,0.03639383739634247
17,target_class_all_returns,260,SVC,recall,0.045511613308223474,0.025423728813559324,0.047532880414085606
18,target_class_all_returns,260,KNN,recall,0.0026455026455026454,0.0,0.0037413057205637435
19,target_class_all_returns,260,GNB,recall,0.08158978497961548,0.07627118644067797,0.04800083437899404
20,target_class_all_returns,260,LogReg,roc_auc,0.5391024018702738,0.50080688542227,0.08442244417448218
21,target_class_all_returns,260,RandomForest,roc_auc,0.5253691799885031,0.526856051563619,0.009162636014515483
22,target_class_all_returns,260,SVC,roc_auc,0.5014483231647041,0.5199597251836058,0.033544460554862425
23,target_class_all_returns,260,KNN,roc_auc,0.5288054108580108,0.5313191082421853,0.014358505717363483
24,target_class_all_returns,260,GNB,roc_auc,0.5128431057934111,0.523872045834328,0.0171020374944030260,target_class_returns_all_attributes,260,LogReg,accuracy,0.508974358974359,0.4807692307692308,0.06291202126351433
1,target_class_returns_all_attributes,260,RandomForest,accuracy,0.5423076923076923,0.5538461538461539,0.027912232124458005
2,target_class_returns_all_attributes,260,SVC,accuracy,0.5487179487179487,0.5576923076923077,0.01840089755693245
3,target_class_returns_all_attributes,260,KNN,accuracy,0.541025641025641,0.5461538461538461,0.01611513473073913
4,target_class_returns_all_attributes,260,GNB,accuracy,0.49230769230769234,0.4846153846153846,0.03807498052542946
5,target_class_returns_all_attributes,260,LogReg,f1,0.5795160193191079,0.6186666666666667,0.07667959862924544
6,target_class_returns_all_attributes,260,RandomForest,f1,0.2863636363636363,0.25,0.222931604204172
7,target_class_returns_all_attributes,260,SVC,f1,0.42274358066926193,0.5306122448979592,0.23544514242735898
8,target_class_returns_all_attributes,260,KNN,f1,0.25779876688967596,0.2857142857142857,0.15983150139313337
9,target_class_returns_all_attributes,260,GNB,f1,0.5544276619495486,0.6206896551724138,0.11718703144341368
10,target_class_returns_all_attributes,260,LogReg,precision,0.5041165296848543,0.48249027237354086,0.055480417482352315
11,target_class_returns_all_attributes,260,RandomForest,precision,0.35404426165295727,0.4945652173913043,0.2521148418080607
12,target_class_returns_all_attributes,260,SVC,precision,0.6231669372294372,0.5078125,0.16545133568716175
13,target_class_returns_all_attributes,260,KNN,precision,0.659551176792556,0.5476190476190477,0.24539361728785017
14,target_class_returns_all_attributes,260,GNB,precision,0.476040626040626,0.4846153846153846,0.018767855636152415
15,target_class_returns_all_attributes,260,LogReg,recall,0.7912950201085794,0.9841269841269841,0.2779019426202803
16,target_class_returns_all_attributes,260,RandomForest,recall,0.33638583638583636,0.23931623931623933,0.32169423908855355
17,target_class_returns_all_attributes,260,SVC,recall,0.49578513137835173,0.5555555555555556,0.3415142004240839
18,target_class_returns_all_attributes,260,KNN,recall,0.20139276918937934,0.21367521367521367,0.13893555255031745
19,target_class_returns_all_attributes,260,GNB,recall,0.7740112994350282,1.0,0.3195962852820554
20,target_class_returns_all_attributes,260,LogReg,roc_auc,0.5405544500672685,0.5281214511983742,0.054140028711639004
21,target_class_returns_all_attributes,260,RandomForest,roc_auc,0.5522820032224823,0.5350546889008427,0.055758850387360614
22,target_class_returns_all_attributes,260,SVC,roc_auc,0.5298671667723903,0.5248341402187555,0.021896398949504885
23,target_class_returns_all_attributes,260,KNN,roc_auc,0.5169157739427135,0.49591329068941015,0.032536698355690584
24,target_class_returns_all_attributes,260,GNB,roc_auc,0.49335783938122524,0.4987747295439603,0.04764894219772789
