,strategy,test_len,model,metric,imp
0,target_close_all_lags,260,LR,explained_variance,"[68.3973323   1.67018689  4.0135793  -3.15369593  5.31651831 -3.32585766
 -0.61598643 -0.9244804   1.2481127  -0.42746888]"
1,target_close_all_lags,260,Lasso,explained_variance,"[68.04637366  2.50612994  2.92910795 -1.2660137   3.55018322 -2.86849436
 -0.58859854 -0.9291656   1.23944078 -0.42034099]"
2,target_close_all_lags,260,Ridge,explained_variance,"[68.39602953  1.67146469  4.01342916 -3.15334464  5.31615205 -3.32561927
 -0.61604581 -0.92448057  1.24812429 -0.42747036]"
3,target_close_all_lags,260,RandomForest,explained_variance,"[4.19549135e-01 2.11021341e-01 8.10153335e-02 1.29448868e-01
 4.73892535e-02 3.18092831e-02 5.80094431e-04 3.14203618e-02
 4.74476145e-02 3.18714637e-04]"
4,target_close_all_lags,260,XGB,explained_variance,"[0.5140602  0.01812504 0.01850492 0.00208258 0.02465709 0.29356423
 0.06427921 0.06204627 0.00173102 0.00094942]"
5,target_close_all_lags,260,SVR,explained_variance,"[ 0.98231739  0.07294232 -0.01969114 -0.06422701  0.00907184  0.00782151
  0.01139595  0.00166725  0.01146702 -0.01262661]"
6,target_close_all_lags,260,LR,r2,"[68.3973323   1.67018689  4.0135793  -3.15369593  5.31651831 -3.32585766
 -0.61598643 -0.9244804   1.2481127  -0.42746888]"
7,target_close_all_lags,260,Lasso,r2,"[68.04637366  2.50612994  2.92910795 -1.2660137   3.55018322 -2.86849436
 -0.58859854 -0.9291656   1.23944078 -0.42034099]"
8,target_close_all_lags,260,Ridge,r2,"[68.39602953  1.67146469  4.01342916 -3.15334464  5.31615205 -3.32561927
 -0.61604581 -0.92448057  1.24812429 -0.42747036]"
9,target_close_all_lags,260,RandomForest,r2,"[4.19549135e-01 2.11021341e-01 8.10153335e-02 1.29448868e-01
 4.73892535e-02 3.18092831e-02 5.80094431e-04 3.14203618e-02
 4.74476145e-02 3.18714637e-04]"
10,target_close_all_lags,260,XGB,r2,"[0.5140602  0.01812504 0.01850492 0.00208258 0.02465709 0.29356423
 0.06427921 0.06204627 0.00173102 0.00094942]"
11,target_close_all_lags,260,SVR,r2,"[ 0.98231739  0.07294232 -0.01969114 -0.06422701  0.00907184  0.00782151
  0.01139595  0.00166725  0.01146702 -0.01262661]"
12,target_close_all_lags,260,LR,neg_mean_absolute_error,"[68.3973323   1.67018689  4.0135793  -3.15369593  5.31651831 -3.32585766
 -0.61598643 -0.9244804   1.2481127  -0.42746888]"
13,target_close_all_lags,260,Lasso,neg_mean_absolute_error,"[68.04637366  2.50612994  2.92910795 -1.2660137   3.55018322 -2.86849436
 -0.58859854 -0.9291656   1.23944078 -0.42034099]"
14,target_close_all_lags,260,Ridge,neg_mean_absolute_error,"[68.39602953  1.67146469  4.01342916 -3.15334464  5.31615205 -3.32561927
 -0.61604581 -0.92448057  1.24812429 -0.42747036]"
15,target_close_all_lags,260,RandomForest,neg_mean_absolute_error,"[4.19549135e-01 2.11021341e-01 8.10153335e-02 1.29448868e-01
 4.73892535e-02 3.18092831e-02 5.80094431e-04 3.14203618e-02
 4.74476145e-02 3.18714637e-04]"
16,target_close_all_lags,260,XGB,neg_mean_absolute_error,"[0.5140602  0.01812504 0.01850492 0.00208258 0.02465709 0.29356423
 0.06427921 0.06204627 0.00173102 0.00094942]"
17,target_close_all_lags,260,SVR,neg_mean_absolute_error,"[ 0.98231739  0.07294232 -0.01969114 -0.06422701  0.00907184  0.00782151
  0.01139595  0.00166725  0.01146702 -0.01262661]"
18,target_close_all_lags,260,LR,neg_mean_squared_error,"[68.3973323   1.67018689  4.0135793  -3.15369593  5.31651831 -3.32585766
 -0.61598643 -0.9244804   1.2481127  -0.42746888]"
19,target_close_all_lags,260,Lasso,neg_mean_squared_error,"[68.04637366  2.50612994  2.92910795 -1.2660137   3.55018322 -2.86849436
 -0.58859854 -0.9291656   1.23944078 -0.42034099]"
20,target_close_all_lags,260,Ridge,neg_mean_squared_error,"[68.39602953  1.67146469  4.01342916 -3.15334464  5.31615205 -3.32561927
 -0.61604581 -0.92448057  1.24812429 -0.42747036]"
21,target_close_all_lags,260,RandomForest,neg_mean_squared_error,"[4.19549135e-01 2.11021341e-01 8.10153335e-02 1.29448868e-01
 4.73892535e-02 3.18092831e-02 5.80094431e-04 3.14203618e-02
 4.74476145e-02 3.18714637e-04]"
22,target_close_all_lags,260,XGB,neg_mean_squared_error,"[0.5140602  0.01812504 0.01850492 0.00208258 0.02465709 0.29356423
 0.06427921 0.06204627 0.00173102 0.00094942]"
23,target_close_all_lags,260,SVR,neg_mean_squared_error,"[ 0.98231739  0.07294232 -0.01969114 -0.06422701  0.00907184  0.00782151
  0.01139595  0.00166725  0.01146702 -0.01262661]"
24,target_close_all_lags,260,LR,neg_median_absolute_error,"[68.3973323   1.67018689  4.0135793  -3.15369593  5.31651831 -3.32585766
 -0.61598643 -0.9244804   1.2481127  -0.42746888]"
25,target_close_all_lags,260,Lasso,neg_median_absolute_error,"[68.04637366  2.50612994  2.92910795 -1.2660137   3.55018322 -2.86849436
 -0.58859854 -0.9291656   1.23944078 -0.42034099]"
26,target_close_all_lags,260,Ridge,neg_median_absolute_error,"[68.39602953  1.67146469  4.01342916 -3.15334464  5.31615205 -3.32561927
 -0.61604581 -0.92448057  1.24812429 -0.42747036]"
27,target_close_all_lags,260,RandomForest,neg_median_absolute_error,"[4.19549135e-01 2.11021341e-01 8.10153335e-02 1.29448868e-01
 4.73892535e-02 3.18092831e-02 5.80094431e-04 3.14203618e-02
 4.74476145e-02 3.18714637e-04]"
28,target_close_all_lags,260,XGB,neg_median_absolute_error,"[0.5140602  0.01812504 0.01850492 0.00208258 0.02465709 0.29356423
 0.06427921 0.06204627 0.00173102 0.00094942]"
29,target_close_all_lags,260,SVR,neg_median_absolute_error,"[ 0.98231739  0.07294232 -0.01969114 -0.06422701  0.00907184  0.00782151
  0.01139595  0.00166725  0.01146702 -0.01262661]"
0,target_close_all_attributes,260,LR,explained_variance,"[-1.50514539e+01  1.53463602e+01  1.49237570e+01  6.06732656e+01
 -2.36008199e-02  7.70837454e+00  8.13168389e+00 -1.62455183e+00
  4.94501348e+00  6.58245266e+00  5.04652278e+00 -4.73686746e+00
  9.16680762e+00  3.00313710e-01  2.15849841e-02  1.80193263e+01
  1.36915290e+01 -8.11979644e-01 -8.07170785e+00  1.34880568e+01
 -1.23206189e+01 -4.68382811e+01 -2.84520226e+00 -2.84520226e+00
 -1.80870505e+01  2.47296025e-02  1.67848269e-02 -7.93843203e-04
 -2.74845641e-02 -1.27123777e-02 -8.07745701e-02 -2.93689958e-02
  4.29618606e-02 -7.17110537e-02  2.55668792e-02  4.41181034e-03
  5.96643354e-02 -6.25954109e-04 -5.14698974e-02  3.49123789e-04
  1.02147014e-01 -5.47431366e-03]"
1,target_close_all_attributes,260,Lasso,explained_variance,"[ 4.55330445e+01  2.76915865e+01  3.61321070e+00  2.65268234e+01
 -1.00698867e-01 -4.09315876e+01  2.70179992e+00  5.55745968e-01
  4.51834812e+00 -1.65982444e+00  8.44519781e-02  4.39131494e+00
  4.32988311e+00  8.81390706e-01  1.30282453e-01 -2.78649185e+00
 -3.44470305e+00 -1.49414449e+00  2.09093430e+00  4.11987278e+00
 -4.11685034e+00  1.01408687e+00  2.40891327e-01  0.00000000e+00
  3.56582632e-01  9.83824415e-02  5.84097755e-03 -0.00000000e+00
 -2.72975899e-02 -6.06334161e-03 -1.11771203e-01 -1.00061471e-02
  5.26107971e-02 -1.07678776e-01  5.61230469e-02 -3.61893356e-03
  7.92260994e-02  2.91118973e-02 -4.36467219e-02 -1.99841654e-02
  4.49010375e-02  1.10802326e-02]"
2,target_close_all_attributes,260,Ridge,explained_variance,"[-1.50499259e+01  1.53460159e+01  1.49249732e+01  6.06531042e+01
 -2.36032767e-02  7.69367512e+00  8.12190331e+00 -1.62986966e+00
  4.94253068e+00  6.57523245e+00  5.04648665e+00 -4.73213231e+00
  9.15828567e+00  3.03831352e-01  2.16019386e-02  1.80085776e+01
  1.36813258e+01 -8.11943623e-01 -8.05426683e+00  1.35581227e+01
 -1.22635402e+01 -4.67165039e+01 -2.95913048e+00 -2.95913038e+00
 -1.80303879e+01  2.47417689e-02  1.67827265e-02 -8.01756025e-04
 -2.74866580e-02 -1.27120665e-02 -8.07710376e-02 -2.93561779e-02
  4.29759495e-02 -7.17193884e-02  2.55813529e-02  4.39272082e-03
  5.96717715e-02 -6.47637407e-04 -5.14832615e-02  3.51642266e-04
  1.02144612e-01 -5.46223756e-03]"
3,target_close_all_attributes,260,RandomForest,explained_variance,"[3.04100799e-02 9.55133401e-02 1.45177781e-01 1.18321031e-01
 4.90655272e-05 8.45114002e-03 4.19686713e-03 4.00294168e-02
 3.86951554e-02 8.30408027e-05 8.67958039e-05 5.91955320e-05
 3.89021292e-02 8.34516460e-05 5.31439763e-05 1.24000780e-01
 4.12244529e-02 2.91139331e-04 2.10880974e-04 7.76714938e-02
 3.99301413e-02 7.88986415e-02 7.76533638e-02 2.72166350e-04
 3.96615216e-02 1.01608634e-05 1.49553281e-05 8.58495951e-06
 6.16260799e-06 1.30920319e-06 3.74715253e-07 2.41391487e-06
 6.46788314e-06 1.61480598e-06 6.89448359e-07 2.07616331e-06
 9.34250714e-06 6.96282696e-07 4.18277618e-06 4.16935529e-06
 3.95959898e-07 1.87350912e-07]"
4,target_close_all_attributes,260,XGB,explained_variance,"[2.76126176e-01 8.14537033e-02 4.99747902e-01 5.53628653e-02
 4.54828623e-05 7.29955427e-05 4.34280591e-05 1.82529609e-03
 3.19713057e-04 6.27710819e-02 3.04808782e-04 2.65490846e-04
 9.49609821e-05 1.95280605e-04 8.21504073e-05 2.36930093e-03
 1.28061408e-02 1.67415733e-03 1.80462448e-04 3.21505172e-03
 1.14561335e-04 5.34030478e-05 9.96942690e-05 0.00000000e+00
 1.75215042e-04 1.82259992e-05 2.08230285e-05 5.27757948e-05
 5.34580213e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.95745034e-04 0.00000000e+00 0.00000000e+00
 4.14623864e-05 4.73758009e-05 0.00000000e+00 0.00000000e+00
 7.07486106e-05 0.00000000e+00]"
5,target_close_all_attributes,260,SVR,explained_variance,"[2.76126176e-01 8.14537033e-02 4.99747902e-01 5.53628653e-02
 4.54828623e-05 7.29955427e-05 4.34280591e-05 1.82529609e-03
 3.19713057e-04 6.27710819e-02 3.04808782e-04 2.65490846e-04
 9.49609821e-05 1.95280605e-04 8.21504073e-05 2.36930093e-03
 1.28061408e-02 1.67415733e-03 1.80462448e-04 3.21505172e-03
 1.14561335e-04 5.34030478e-05 9.96942690e-05 0.00000000e+00
 1.75215042e-04 1.82259992e-05 2.08230285e-05 5.27757948e-05
 5.34580213e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.95745034e-04 0.00000000e+00 0.00000000e+00
 4.14623864e-05 4.73758009e-05 0.00000000e+00 0.00000000e+00
 7.07486106e-05 0.00000000e+00]"
