,strategy,model,time
0,STRATEGY,LR,0.0
1,STRATEGY,Lasso,0.0
2,STRATEGY,Ridge,0.0
3,STRATEGY,RandomForest,2.8833333333333333
4,STRATEGY,XGB,0.85
5,STRATEGY,SVR,0.0
0,STRATEGY,LR,0.0
1,STRATEGY,Lasso,0.0
2,STRATEGY,Ridge,0.0
3,STRATEGY,RandomForest,4.5
4,STRATEGY,XGB,1.4833333333333334
5,STRATEGY,SVR,61.1
0,target_close_all_lags,LR,0.0
1,target_close_all_lags,Lasso,0.0
2,target_close_all_lags,Ridge,0.0
3,target_close_all_lags,RandomForest,2.3
4,target_close_all_lags,XGB,1.3833333333333333
5,target_close_all_lags,SVR,27.05
